,Modified_meta-llama_llama-3.3-70b-instruct_of_Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo_Modelmeta-llama_llama-3.3-70b-instruct
10,"Graphic Designer & Student
Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies
Specializing in Publishing and Printing

Education:
- Currently pursuing education at Kharkiv National University of Radio Electronics
- Courses in ""Web Design"" and ""UX/UI Design"" from Genius.Space

Summary:
Highly motivated graphic designer with a passion for creating clear and structured designs. Proficient in visualization and graphic elements, with a strong attention to detail and ability to develop effective action plans.

Skills:
- UX design
- Visualization and graphic elements (UI)
- Soft skills: teamwork, empathy, enjoyment of work, punctuality, and discipline
- Proficient in graphic editors: Figma, Adobe Illustrator, Adobe Photoshop, Blender, and AutoCAD

Experience:
- Commercial projects, including creating business cards for a tattoo artist
- Various projects: website designs, brochures, presentations, and logos

Personal Statement:
Design is a vital part of my life, driving me to approach tasks with quality and discipline. I am committed to continuous learning and practice, ensuring the development of my skills and expertise."
11,"My design journey began 10 years ago at the College of Arts, where I laid the foundation for my future career.

With a decade of experience, I have had the privilege of collaborating with a diverse range of clients from Europe and the USA, including large enterprises with over 250,000 employees, as well as e-Commerce and SaaS companies.

Throughout my career, I have developed a deep understanding of the IT product lifecycle, development processes, and methodologies. My experience encompasses leading creative teams, direct client communication, eliciting requirements, providing design solutions, and defending and iterating on them.

Key aspects of my professional profile include:
• Experience working with a Big Four accounting firm's enterprise-sized company, with over 250,000 employees worldwide.
• Proven ability to lead creative teams, mentor, and facilitate teammate growth.
• Skilled in project estimation, resource planning, and timeline management.
• Confident presenter of concepts and ideas to large audiences of foreign stakeholders.
• Advanced English proficiency enables effective communication.
• Ability to maintain professionalism despite personal dislikes.
• Full-stack design expertise in UI/UX and Graphic Design.

My skills include:
Team Leadership,
Project Management,
Project Estimation,
Resource Planning,
Client Presentation,
Client Communication,
Business English,
Enterprise-sized companies,
Agile and Scrum methodologies,
Art Direction,
Prototyping,
UI/UX Design,
Information Architecture,
UML diagrams,
User Testing,
Mobile App design,
SaaS,
Web Design,
Graphic Design

I am seeking a company that offers a variety of challenging projects, a laid-back atmosphere, and a flexible schedule focused on results. I am eager to communicate with clients, lead design teams, and manage projects, with a preference for mobile and complex web solutions. In return, I am committed to delivering top-notch output, prioritizing business and user needs."
12,"Results-driven Product Designer and Design Team Lead with a strong background in design team management, delivering over 30 successful projects and leading a team of 17 designers.

Key strengths:
- Design team management: planning, delegating, and reviewing team processes
- User research project management
- Workshops facilitation and reporting
- Conflict management
- Sales process expertise as a design consultant, with over 20 launched projects

Education:
- Design management course
- People management 3.0 course

Skills:
- Business goal understanding
- Negotiation and solution presentation
- English communication (fluent)
- German communication (written)

Portfolio:
- Product Design Manager for human resources project
- Design Manager for crypto product
- UI/UX Team Lead for SaaS project
- Various smaller projects in betting, healthcare, and delivery

Target roles: Design Delivery Manager or establishing strong design teams in outsourcing companies or product teams."
13,"Summary:
Results-driven designer with 8 Design Awards on Behance, an honorable mention in San Francisco Design Week, and featured in Ukrainian Design: The Very Best Of. Proven track record of delivering results in fast-paced environments, including startups, fintech, organization management, crypto, insurance, and healthcare.

Experience:
6+ years of commercial experience designing for web, mobile, dashboard, and web applications. Key accomplishments include:
- Contributed to the development of an Australia-based digital home loan product, taking it from concept to Minimum Viable Product (MVP) within 1 year
- Developed a design system from scratch as part of a 3-person team

Skills:
- Hypothesis generation
- Research
- Wireframing and prototyping
- Usability testing and analysis
- Design system creation
- Design team leadership
- Collaboration and independent work
- Business needs analysis and design advice

Project Stages:
- Stakeholder and product manager communication
- Research
- Functionality mapping and process flow creation
- Low and high fidelity wireframing
- UI research and design
- Team leadership (up to 8 team members)

Collaboration and Teamwork:
- Junior designer mentorship
- One-on-one meetings for issue resolution and personal growth
- Providing feedback and support to teammates"
14,"Summary:
Results-driven design leader with extensive experience in e-commerce, advertising, and publishing, skilled in graphic and web design, team management, and user experience development.

Experience:
Senior Designer & Head of Design Team, E-commerce Company
- Created and headed the design department, automating processes to increase productivity
- Led design teams and collaborated with cross-functional teams to deliver successful projects

Creative Designer, Trading Companies
- Developed brand identities and promotional materials for various clients
- Designed and implemented digital advertising campaigns

Graphic Designer, Advertising Agencies
- Created key-visuals and supervised implementation of materials across online and offline channels
- Worked on printing and product design projects

Leading Designer, Publishing and Entertainment
- Designed and developed materials for publishing and entertainment clients
- Utilized skills in layout design, print preparation, animation, motion design, and video editing

Founder, Design Bureau and Printing Studio
- Hired, educated, and trained design specialists
- Managed design departments and teams, driving business growth and success

Qualifications:
- Professional skills in graphic and web design
- Experience in creating brand identity and promoting brands
- Development and implementation of digital advertising campaigns
- Team management and design department leadership
- User experience design and analytics
- Animation, motion design, and video editing
- Layout design and print preparation

Soft Skills:
- Complex problem-solving and analytical thinking
- Critical thinking and decision-making
- Emotional intelligence, empathy, and negotiation skills
- Ability to learn quickly and adapt to new situations
- Design thinking, creativity, and enterprise

Career Goal:
To join a team of enthusiasts and ambitious professionals, dedicating myself to developing and improving a company's product, driving innovation and global success."
15,"As a self-educated Digital 2D Artist and UI/UX Designer from Kyiv, I possess a strong portfolio and a range of skills, including advanced knowledge and experience working with Adobe Photoshop, Adobe Illustrator, Figma, and Procreate App. I have a strong technical understanding of the subject, an understanding of current design and technology trends, and an Upper-Intermediate English level. My communication skills are effective, both verbally and in writing, and I am proficient in time and self-management.

My experience spans several roles:
- Freelance Web-designer (Dec 2018 - Nov 2019)
- UI/UX-Designer / Illustrator (Nov 2019 - Aug 2021)
- Full stack: UI/UX-Designer / Illustrator / Graphic designer (Apr 2021 - Present)

My key skills include:
- English (Upper-Intermediate)
- UI/UX Design and Adaptive design
- Illustration (raster and vector)
- Banner design
- Logo design

I am proficient in the following tools:
- Adobe Photoshop
- Adobe Illustrator
- Procreate App
- Figma
- Midjourney

Notably, I received the RED DOT award for Brands & Communication Design in Aug 2022. I am looking forward to joining a successful company with a friendly team where I can continue to develop, learn, and strive for excellence."
16,"Digital Designer

Summary:
Results-driven digital designer with a strong background in marketing, proficient in Photoshop, Illustrator, and Figma, with expertise in Webflow, animation, CMS, and related technologies. Proven ability to create visually stunning designs that drive brand growth and expansion.

Skills:
- Color Theory and Composition
- Branding and Advertising
- Digital Design and Imagery
- Web Ads and Social Media Ads
- Digital Analytics and E-blast
- UI/UX Design
- HTML/CSS
- Webflow
- Illustration

Soft Skills:
- Independent and Team Collaboration
- Creativity
- Direct Customer Interface

Education:
- Dare IT, Product Design
- HILLEL (IT School), Basic Web Design
- CASES MEDIA, Figma (90)
- CASES MEDIA, Graphic Design and Composition (91)

Experience:
Experienced freelance and in-house digital designer with a portfolio that includes collaborations with over 5 international companies. Successful track record of freelance design work with an American company, demonstrating adaptability in both independent and team environments.

Career Goals:
Seeking a long-term collaborative opportunity focused on product development, where expertise and experience can be leveraged to enhance customer experience and drive growth."
17,"Digital Graphic Designer (NDA) 
July 2021 – Present

• Developed web content and designed landing pages
• Created logos, posters, and graphics for events, as well as infographics
• Designed small architectural forms for event advertising campaigns
• Prepared presentation and training materials
• Created vector illustrations and mascots

Digital Graphic & UI/UX Designer (ReevArts)
July 2020 – July 2021

• Produced over 500 social media graphics and 250 TV designs
• Developed UI/UX designs for two products
• Conducted quality control of animators' work and designer reviews
• Created storyboards and illustrations for showreels and promos

Technical Graphic Designer (Polygraphy)
April 2019 – July 2020

• Prepared designs based on customer requirements and files for printing
• Created layouts for T-shirts, sweatshirts, and stickers
• Reviewed in-house designers' work and customer-submitted designs
• Conducted quality control of printing and cutting results
• Developed technological maps

Graphic & Web (UI/UX) Designer (Freelance Design; Self-employed)
April 2018 – March 2019

• Created final art and files for developers and animators
• Collaborated with editors and project managers on design projects
• Designed presentations and assisted with creative presentations
• Developed website and interface designs
• Created prototypes and templates

Assistant Manager (АМО1, ООО)
October 2013 – June 2014

• Researched and communicated with clients, and analyzed market demand
• Monitored competitors and maintained the company website
• Worked with drawings and fulfilled personal orders from management
• Analyzed tenders and prices"
18,"Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

Completed a 6-month UI/UX design course, with additional studies in HTML/CSS. Successfully defended and presented three projects:
- Website redesign for a real estate company in Destin, Florida, focusing on modernizing the design, improving user-friendliness, and adding essential features such as user-friendly feedback and property valuation.
- A travel website for finding and booking excursions, tours, and entertainment worldwide, incorporating features like search filters, registration options, and secure payment processing.
- A mobile application for booking tables in restaurants.

Notable accomplishments include:
- Real estate site redesign: Conducted research and analysis of competitors, created user personas and a customer journey map, and designed a modern and convenient website to attract potential customers.
- Travel website: Analyzed the market, created user flow, wireframes, and a UI-Kit, resulting in an adaptive design that meets user needs.

Seeking a full-time position in a product company focused on creating digital products for everyday life and business. As a quick learner, responsible individual, and team player, I am ready to perform complex tasks and contribute to innovative projects."
19,"UX/UI Designer

Summary:
Highly motivated UX/UI designer seeking a role that leverages my passion for creating user-centered digital experiences, with opportunities for creativity, collaboration, and design innovation.

Experience:
UX/UI Designer
- Redesigned User Interface of Indian Cafe
- Optimized Mobile App for improved performance
- Developed Web-Service and Landing Page
- Contributed to the development of f.Lover Mobile App, a platform for ordering and delivering bouquets and gifts online, featuring gift and flower recommendations, and allowing users to schedule orders for special occasions

Skills:
- UX/UI Design
- Mobile App Optimization
- Web-Service Development
- Landing Page Design

Career Goals:
Seeking a UX/UI design position that prioritizes quality, user satisfaction, and design innovation, with a focus on thorough user research, thoughtful ideation, and testing, and opportunities for collaboration within cross-functional teams."
20,"Results-driven and detail-oriented designer with experience in working independently and collaboratively in a team environment. Proven ability to lead and generate innovative ideas in team projects.

Technical Skills and Knowledge:
Utilized various design principles, UX research methods, and technical knowledge to develop user-friendly and intuitive interfaces for online services.

Project Experience:

Flowers Delivery Mobile App
- Designed and developed an intuitive interface for online flowers ordering service
- Conducted persona research to understand customer demand
- Created a user-friendly app for global bouquet ordering

Pet Scout Animal Pet Search Web Service
- Conducted UX research, competitor analysis, and user flow analysis
- Created wireframes, mockups, prototypes, and presented on Behance as part of a team

Barbershop Landing Page
- Developed a landing page for barbershop services and appointment scheduling
- Performed competitor analysis, developed personas, and applied research methods
- Designed desktop, tablet, and mobile versions of the site

Tattoo Studio Website Redesign
- Created a website for tattoo salon services, including artist selection and consultation scheduling
- Conducted competitor analysis, gathering statistical data on age, sex, and other demographics
- Designed a visually enjoyable and intuitive website based on research findings

Career Goals:
Seeking a remote or freelance design position with opportunities for growth and development, preferably with mentoring. Committed to collaborating with companies to create customer-centric products."
21,"UI/UX Designer

Proficient in Figma, Illustrator, Protopie, and Photoshop, with expertise in creating low and high fidelity prototypes, vector illustrations, components, adaptive designs, logos, and landing pages. Skilled in improving user interfaces and user experiences to deliver effective solutions for web and mobile applications.

Delivering UI/UX solutions that balance aesthetics and problem-solving to create visually appealing and functional designs, with a passion for turning concepts into real solutions that solve challenges and optimize daily goals for target audiences.

Key Accomplishments:

* Redesigned the ""Destin Tattoo Company"" website, completing competitor analysis, prototyping, text and color selection, logo development, wireframe creation, and component adaptation for tablet and mobile devices.
* Contributed to the ""The Lost Pets"" web service project, creating a flow for users who find or pick up animals, and designing an individual logo for the service.
* Designed the ""Suit Store"" mobile app, focusing on creating a convenient flow for users to search and purchase goods, and completing the prototyping stage independently.

Career Aspirations:
Seeking a full-time position in a creative and friendly team, where I can utilize my skills to find solutions to challenging problems, improve user interfaces, and engage in creative promotion on design tasks."
22,"UX/UI Designer

Summary:
Results-driven UX/UI designer with experience leading team projects and developing innovative solutions for web and mobile applications, with a proven track record of designing user-centered interfaces for various industries, including hospitality and automotive.

Experience:
Team Leader, BudgetStay Project
- Led a team of designers in developing a web service interface for finding free or cheap accommodation
- Created main user flow with 2 account types and second flow for 3 types of hosts
- Designed desktop, tablet, and mobile versions with prototype for desktop

Team Leader, Tantric Massage Salon Sensual Landing Page
- Led the development of a landing page promoting the salon's services and creating an appealing online presence
- Designed for desktop, tablet, and mobile devices

Designer, FoodieFinder Mobile Application
- Designed a mobile app for restaurant search and table reservations
- Created a hassle-free and efficient way for users to find and book restaurants based on their preferences

Personal Projects:
- India Cafe Website Redesign: created a modern and convenient design for an Indian restaurant website, including missing pages with photos and a menu, and the possibility to make an appointment
- Citroen 4 Landing Page Concept: designed a concept for a landing page to order a test drive
- 2 additional pet-projects

Skills:
- UX/UI design
- Team leadership
- Web and mobile application design
- User-centered design
- Prototype development

Career Goals:
- Join a team that strives to implement cool and modern projects
- Implement projects enthusiastically, learn, and improve skills to create a connection between service providers and clients."
23,"Summary:
Highly motivated and experienced computer science teacher and graphic designer with 15 years of teaching experience and proficiency in various design programs. Skilled in creating user-friendly designs and passionate about learning and applying new technologies.

Experience:
Computer Science Teacher, School (15 years)
- Taught topics including raster and vector graphics, 3D modeling, and programming languages
- Utilized design programs such as Adobe Photoshop, Adobe Illustrator, and Canva in lessons

Projects:
1. Website Redesign of Veterinary Clinic ""Aibolit""
- Conducted problem analysis and created a prototype of the interface
- Developed a visual style and embodied it in a convenient and simple final product
- Goal: Create a modern and user-friendly design to attract potential customers
2. ""Coffee Time"" Mobile Application
- Analyzed the problem and created a prototype of the interface
- Developed a visual style and embodied it in a convenient and simple final product
- Task: Develop a mobile application to scan and pay for goods, bypassing the queue at the checkout

Skills:
- Proficient in Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, and Canva
- Experienced with Figma and ProtoPay
- Strong understanding of graphic design principles, including moodboard creation, landing page design, research, persona description, and user flow development
- Proficient in raster and vector graphics, 3D modeling, and programming languages

Education:
Studied graphic design, utilizing programs such as Figma, Adobe Photoshop, Adobe Illustrator, Canva, and ProtoPay

Career Goals:
Seeking a team where I can contribute my skills and experience, collaborate to achieve common goals, and work in a friendly and motivated environment."
24,"Mobios School (Sep 2021 — Dec 2021)
UX/UI Web-Design + Mobile Design

CURSOR Education (Feb 2021 — Jul 2021)
UI/UX Designer

Source IT (courses) (Feb 2015 — Apr 2015)
HTML Layout

H.S. Skovoroda Kharkiv National Pedagogical University
Faculty of Art and Graphics
Ad Designer

Layout Designer (various publishing houses) (over 10 years)
- Developed layouts for books, magazines, and posters
- Designed pages, searched and processed vector illustrations, and drew when necessary
- Searched for bitmap images, processed them, and compiled collages
- Prepared products for printing

UI/UX Design Course Graduate
Coursework included:
- Communication
- UX Research
- Wireframing
- UI Design
- Mobile App Design
- Web Design
Final project involved:
- Client interviews
- Competitor analysis
- SWOT analysis
- UX Persona development
- CJM development
- Information architecture development
- Wireframes and design creation

Seeking a collaborative team environment with opportunities for growth, learning, and constructive feedback"
25,"Summary:
Dedicated and detail-oriented UI/UX Designer with a strong foundation in design principles, user research methodologies, and interaction design. Proven ability to deliver well-designed user interfaces and engaging user experiences through comprehensive UI/UX design courses and freelance work.

Experience:
Freelance UI/UX Designer (6 months)
- Developed unique user interfaces for various clients
- Conducted user research, created information architecture, and performed user experience testing based on client requirements
- Created prototypes and participated in iterative design processes
- Collaborated with developers to ensure high-quality end products
- Managed project timelines and effectively communicated with clients

Education and Training:
Comprehensive UI/UX design courses, with a strong foundation in design principles, user research methodologies, wireframing, prototyping, and interaction design, applied through various design projects

Skills:
- Proficient in creating visually appealing and user-friendly designs
- Strong organizational and time management skills, with ability to work independently and achieve results within deadlines
- Commitment to continuous learning and professional development
- Demonstrated attention to detail, creativity, and ability to incorporate user feedback into design iterations

Career Goals:
Seeking a team that prioritizes user needs and expectations, with opportunities for professional growth and development, and a collaborative environment that values open communication to deliver high-quality design solutions."
26,"Ui/Ux Designer

Summary:
Results-driven and detail-oriented Ui/Ux designer with 11 months of experience in continuous development, leveraging proficiency in design and prototyping tools to deliver modern and user-centered solutions.

Projects:
- Redesigned the website of a roofing materials plant, creating a modern and convenient landing page with an engaging structure.
- Designed a stylized landing page for a tea studio, providing an aesthetically pleasing and culturally satisfying experience for potential clients.
- Developed an online store for board games, incorporating AI elements to enhance user engagement.
- Improved the Multiplex application for the Ukrainian cinema network through detailed UX research and targeted solutions to address key inconveniences.

Skills:
- Figma: component-driven design, variants, auto layout, and constraints
- Adobe Photoshop
- Adobe Illustrator
- Webflow site design
- Adobe After Effects motion graphics

About:
Dedicated and creative Ui/Ux designer from Ukraine, committed to continuous learning and self-improvement in web design, bringing a unique style to each project."
