,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo
10,"I am a graphic designer currently pursuing my education at Kharkiv National University of Radio Electronics, specializing in Publishing and Printing at the Department of Media Systems and Technologies. I have also taken courses from Genius.Space in ""Web Design"" and ""UX/UI Design"".

Attention to detail and the ability to structure information help me to create clear action plans, which is an important aspect of being a UX designer. Continuous learning and practice develop my skills related to visualization and graphic elements (UI).

Design is more than just a job for me; it is my life, my oxygen. This attitude towards my profession motivates me to approach tasks with quality and discipline.

Soft skills: 

- teamwork;
- empathy;
- enjoyment of work;
- punctuality and discipline.

Graphic editors: 

- figma;
- adobe illustrator;
- adobe photoshop;
- blender;
- autoCAD.

I have some experience in commercial projects, particularly in creating a set of business cards for a tattoo artist who is currently working abroad. Additionally, I have worked on various projects including website designs, brochures, presentations, and logos."
11,"My design journey began 10 years ago at the College of Arts and I have since worked with various clients from Europe and the USA. I have experience working on projects ranging from large enterprises with over 250,000 employees to e-Commerce and SaaS companies.

I am well-versed in the lifecycle of IT products, development processes, and methodologies. I have led creative teams, communicated directly with clients, elicited requirements, provided design solutions, defended and iterated on them.

Here are some key highlights of my skill set:
- Experience working with an enterprise-size company as part of a Big Four accounting firm
- Ability to lead creative teams, mentor teammates, and facilitate growth
- Proficiency in project estimation, resource planning, and timeline management
- Confident presentation skills to foreign stakeholders
- Advanced English proficiency for effective communication
- Professional demeanor in all situations
- Full-stack Designer with expertise in UI/UX and Graphic Design

Key competencies include:
- Team Leadership
- Project Management
- Project Estimation
- Resource Planning
- Client Presentation
- Client Communication
- Business English
- Agile and Scrum
- Art Direction
- Prototyping
- UI/UX Design
- Information Architecture
- UML Diagrams
- User Testing
- Mobile App Development
- SaaS
- Web Design
- Graphic Design

I am seeking a company that offers challenging projects, a laid-back atmosphere, a flexible schedule, and a focus on results. I am eager to communicate with clients, lead design teams, and manage projects, particularly in the realm of mobile and complex web solutions. In return, I am committed to delivering top-notch output that aligns with business and user needs."
12,"- More than 30 successfully finished projects
- Managed team of 17 designers
- Design consultant in sales process, pitched and launched more than 20 design projects
- Finished ""Design management"" course
- Finished ""People management 3.0"" course
- Experienced product designer and design team lead with a focus on design team management
- Responsible for planning, delegating, and reviewing team processes
- Managed user research projects, facilitated workshops, produced reports, and handled conflict management
- Involved in sales processes as a domain expert
- Good understanding of business goals, skilled in negotiating and presenting solutions
- Fluent in English, proficient in written communication in German
- Proven expertise in projects such as:
  - Product design manager for human resources project
  - Design manager for crypto product
  - UI/UX Team Lead for SaaS project
- Various older/smaller projects in betting, healthcare, and delivery industries
- Seeking to apply manager experience in delivery processes or help establish strong design teams
- Open to working in outsourced companies or product teams"
13,"• 8 Design Awards on Behance
• Honorable mention in San Francisco Design week
• Ukrainian design The very best of
• For the past 1 year, being a part of an Australia-based digital home loan product that went from the idea to MVP
• In a team of just 3 people built a design system from scratch
Over 6+ years of commercial experience, based in startups, fintech, organization management, crypto, insurance, and healthcare environment. I have worked with Web, Mobile, Dashboard, and Web applications. 
I can generate hypotheses, research, create wireframes and prototypes, conduct usability tests, analyze, create a design system from scratch, and lead a design team. I like to collaborate with and manage other designers and work independently. I always pay close attention to business needs and provide best practice design advice to improve the outcomes. 

I work on the following project stages
- Communicate with stakeholders and product manager
- Conduct research
- Create functionality map, process flow
- Create low/high fidelity wireframes
- UI research and design
- Leading a team of 8 people

Another part is Collaboration and teamwork where I work on
- Mentorship of lower-level designer
- Conducting 1on1 meetings to collect issue points and help to define personal areas of improvement
- Offering feedback and support to teammates"
14,"Experience:
• Extensive experience in electronic commerce as a senior designer, head of the design team, and art director
• Extensive experience in trading companies as a creative designer
• Experience in advertising agencies as a graphic designer
• Experience in publishing and entertainment as a leading designer
• Extensive experience in the field of printing and product design

Qualifications:
• Professional skills in graphic and web design
• Experience in creating brand identity and promoting brands
• Creation of key-visuals and supervision of the further implementation of materials in various online and offline channels
• Development and implementation of digital advertising campaigns
• Good skills in managing designer teams and design departments
• Solving business problems with customer and user experience analytics and introducing new business product features
• Experience with animation, motion design, and video editing
• High skills in layout design and print preparation

Soft skills:
• Ability to identify and solve complex product problems
• Critical thinking and analytical skills
• Skillful management and successful interaction with people, negotiation skills, and stress resistance
• Emotional intelligence and empathy
• Ability to draw conclusions and make decisions, design thinking, creativity, and enterprise
• Quick learning ability and cross-functionality expertise

I am seeking to join a team of enthusiasts and ambitious professionals to focus on developing and enhancing a company's product that will captivate the world."
15,"As a self-taught Digital 2D Artist & UI/UX Designer from Kyiv, I possess the following skills:

- Advanced proficiency with Adobe Photoshop, Illustrator, Figma, and Procreate App
- Strong technical understanding
- Knowledge of current design and technology trends
- Upper-Intermediate English level
- Effective verbal and written communication skills
- Time and self-management skills

EXPERIENCE:
- Freelance Web Designer (Dec 2018 - Nov 2019)
- UI/UX Designer / Illustrator (Nov 2019 - Aug 2021)
- Full stack UI/UX Designer / Illustrator / Graphic Designer (Apr 2021 - Present) 

SKILLS:
- Upper-Intermediate English
- UI/UX Design / Adaptive design
- Illustration (raster/vector)
- Banner design
- Logo design

TOOLS:
- Adobe Photoshop
- Adobe Illustrator
- Procreate App
- Figma
- Midjourney

AWARDS:
- RED DOT / Brands & Communication Design (Aug 2022)

I am seeking a position in a successful company with a friendly team, where I can continue to develop and demonstrate my skills. I am dedicated to continuous improvement and ready to give my best effort in any project."
16,"Skills:
Color sense, Color Theory, Composition, Branding, Advertising, Illustration, Web ads, Social media ads, Digital Design, Digital imagery, Digital Analytics, E-blast, UI/UX design, HTML/CSS, WEBFLOW

Soft skills:
Confidence to work independently and in a team, Creative, Interface directly with customers

Completed courses:
Dare IT - PRODUCT DESIGN, HILLEL (IT SCHOOL) - BASIC WEB DESIGN, CASES MEDIA - FIGMA (90), CASES MEDIA - Graphic design. Composition (91)

Summary:
Experienced digital designer with a background in Marketing, proficient in Photoshop, Illustrator, Figma, and Webflow. Skilled in creating visually stunning designs to help brands grow, with a focus on UI/UX design. Experienced in working independently, with teams, and interfacing directly with clients. Have worked as both a freelance and in-house manager, collaborating with multiple companies from various countries. Passionate about developing award-winning campaigns and eager to contribute to a long-term partnership where I can leverage my skills to enhance customer experiences."
17,"Digital Graphic Designer (NDA) 
July 2021 – Present day

• Web content development
• Creation of logos, posters, graphics for events
• Infographics
• Development of landing pages
• Work with small architectural forms for advertising campaigns of events
• Design of presentations and training materials
• Creation of vector illustrations and mascots

Digital Graphic & UI/UX Designer (ReevArts)
July 2020  – July 2021

• 500+ Designs for social media
• 250+ Designs for TV
• 1+ year constant UI/UX designs for 2 products
• Quality control of animators' work (designers review)
• Storyboarding & creating illustrations for showreels and promos

Technical Graphic Designer (Polygraphy)
April 2019 – July 2020

• Development of designs, taking into account customer requirements and preparation for printing
• Development of special layouts and their printing on T-shirts and sweatshirts
• Preparing layouts for stickers, creating clipping paths
• Control of the work of in-house designers
• Control of designs received from customers
• Quality control of the result of printing and cutting
• Development of technological maps

Graphic & Web (UI/UX) Designer (Freelance Design; Self-employed)
April 2018 – March 2019

• Create final art and files to be given to Developers and animators
• Work closely with both editors and project managers
• Create final art for presentations and assist in Creative Presentations
• Website and interface designs
• Prototyping and templating

Assistant manager (АМО1, ООО)
October 2013  – June 2014
• Search for potential clients
• Communication with clients and work with their objections
• Search for tenders in the areas of the company's activities
• Analysis of the need to introduce the production of new parts, the relevance of their demand in the market
• Working with drawings
• Fulfillment of personal orders of the head
• Analysis of competitors' market, price monitoring
• Maintaining the site of the enterprise"
18,"Junior UI/UX designer with a certificate from a 6-month UI/UX design course and additional studies in HTML/CSS. Successfully defended and presented 3 projects: website redesign for a real estate company, travel website creation, and mobile application for booking tables in restaurants. Proficient in Figma, Photoshop, and Illustrator, skilled in producing interactive prototypes, wireframes, and mockups. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs. Looking for a full-time position in a product company focusing on creating digital products for everyday life and business. A quick learner, responsible, and prepared to tackle complex tasks."
19,"Redesigned User Interface of Indian Cafe; Mobile App Optimization; Web-Service; Landing Page
f.Lover Mobile App for Delivering Flowers: Developed an online platform for ordering and delivering bouquets and gifts. Provided gift and flower recommendations, and allowed users to order gifts for specific dates and occasions. Passionate about UX/UI design with a focus on creating user-centered digital experiences. Seeking roles that provide opportunities for creativity and collaboration within cross-functional teams. Not interested in roles focused on routine maintenance tasks without room for design innovation. Interested in positions that allow for thorough user research, thoughtful ideation, and testing. Goals include contributing to projects that prioritize quality over speed and prioritize user satisfaction."
20,"During my training, I completed three projects, two on my own and the third in a team. I am proficient at working both independently and as a leader in team projects, with a strong ability to generate creative ideas. Throughout my training, I acquired technical knowledge as well as theoretical skills.

Flowers delivery mobile app
- Designed a user-friendly interface for an online flowers ordering service
- Conducted persona research to understand customer demand
- Developed an app for convenient, global bouquet ordering

Pet Scout. Animal pet search web service
- Conducted UX research, competitor analysis, and user flow
- Worked on web service architecture and design principles
- Created wireframes, mockups, and prototypes in a team setting

Barbershop Landingpage
- Designed a landing page for a barbershop with appointment scheduling
- Conducted competitor analysis and developed personas
- Designed desktop, tablet, and mobile versions of the site

Tattoo Studio Website Redesign
- Designed a tattoo salon website with artist selection and portfolio viewing
- Analyzed competitor data for target demographics
- Created a visually appealing and user-friendly website

Seeking remote or freelance design opportunities to continue professional growth and development. Interested in working with a company that offers mentoring to further enhance skills. Passionate about creating products that resonate with customers."
21,"Proficient in Figma, Illustrator, Protopie, Photoshop with experience in low and high fidelity prototypes, vector illustration, component creation, adaptive design, logo development, landing page design, and improving user interface and user experience for web and mobile applications. Skilled in turning concepts into practical solutions to optimize daily goals of the target audience. Experienced in working both independently and as part of a team on various projects:

1. Website Redesign:
- Redesigned ""Destin Tattoo Company"" website.
- Conducted competitor analysis, prototyping, content selection, color choice, logo development, wireframe creation, and component adaptation for tablet and mobile devices.

2. Webservice ""The Lost Pets"" (team project):
- Contributed to creating a platform for finding/returning/taking animals into good hands.
- Designed flow for users finding or rescuing animals, as well as developing a unique logo for the service.

3. Mobile App ""Suit Store"":
- Designed an app for user convenience in searching and purchasing goods.
- Developed a user-friendly flow for male users across different product categories, primarily working solo from prototyping to final stages.

Seeking full-time position in a creative and collaborative team environment to tackle challenging problems, enhance user interfaces, and engage in creative design tasks."
22,"Experience:

- Team Leader for the ""BudgetStay"" project, focusing on developing a web service interface for changing environments.
- Led the development of the landing page for ""Sensual Temple,"" a tantric massage salon, for desktop, tablet, and mobile devices.
- Completed the project for the ""FoodieFinder"" mobile application, designing the app for restaurant search and table reservations.
- Independently redesigned the website for ""India Cafe,"" adding missing pages, photos, a menu, and appointment scheduling capabilities.
- Created a concept and design for the Citroen 4 landing page in Ukraine, focused on ordering a test drive.

Pet Projects:

- Developed 2 personal pet projects, including the ""FoodieFinder"" mobile app design and the landing page for ""Sensual Temple."" 

Looking for a new opportunity as a UX/UI designer to collaborate with a strong team on innovative and modern projects that enhance the connection between service providers and clients. Dedicated to implementing projects with enthusiasm and continually improving skills."
23,"Experience:
- Computer Science Teacher at a school for 15 years
- Taught topics on raster and vector graphics, 3D modeling, and programming languages
- Worked with programs such as Figma, Adobe Photoshop, Adobe Illustrator, Canva, ProtoPay
- Passion for learning and applying new technologies

Projects:
Website of veterinary clinic ""Aibolit""
- Website redesign, full design cycle
- Analyzed problem, created prototype of interface, developed visual style
- Created modern and user-friendly design to attract potential customers

""Coffee Time"" mobile application
- Mobile application development, full design cycle
- Analyzed problem, created prototype of interface, developed visual style
- Tasked with creating an application to scan and pay for goods, bypassing checkout queues to attract potential customers

Skills:
- Adobe Photoshop
- Adobe Illustrator
- Corel Draw
- ProtoPie
- Canva

Seeking a position in a friendly, motivated team where I can contribute and grow professionally."
24,"• Mobios School (Sep 2021 — Dec 2021)
  UX/UI web-design + mobile design

• CURSOR Education (Feb 2021 — Jul 2021)
  UI/UX Designer 

• Source IT (courses). (Feb 2015 — Apr 2015)
  HTML layout

• H.S. Skovoroda Kharkiv National Pedagogical University
  Faculty of Art and Graphics 
  Ad designer

Layout designer with over 10 years of experience in various publishing houses. Specialized in developing layouts for books, magazines, and posters. Skilled in page design, search and processing of vector illustrations, search for bitmap images and compilation of collages. Proficient in layout of books and magazines, as well as preparation of products for printing. 

Graduated from UI / UX Design courses, with experience in communication, UX research, wireframing, UI design, mobile app design, and web design. Developed final project including interviews with clients, competitor analysis, SWOT analysis, UX Persona creation, CJM, information architecture development, wireframes, and design. 

Seeking to join a dynamic and collaborative team where there is room for learning, feedback, and growth."
25,"- UI/UX Design Skills: Completed comprehensive UI/UX design courses, gaining knowledge in design principles, user research methodologies, wireframing, prototyping, and interaction design.
- Project Experience: Collaborated on various design projects, delivering well-designed user interfaces and engaging user experiences individually and as part of a team.
- Positive Feedback: Received commendations from instructors and peers for attention to detail, creativity, and incorporating user feedback into design iterations.
- Continuous Learning: Demonstrated commitment to continuous learning and professional development by attending webinars, engaging with design communities, and staying up-to-date with industry trends.
- Freelance Experience: Worked for six months as a freelance UI/UX designer, responsible for developing user interfaces, conducting user research, creating information architecture, testing user experience, and creating prototypes.
- Skills Gained: Developed skills in design and user experience, deepened understanding of the product creation process, and improved communication with clients to deliver distinctive and appealing designs.
- Independent Work: Ability to work independently, organize tasks, and deliver results within deadlines, ready to bring value to a new team. 

Objective:
- Seeking a position in a team-oriented company that values a user-centric approach, provides opportunities for professional growth, emphasizes collaboration and communication, and allows for the utilization of UI/UX design skills and freelance experience to drive impactful projects."
26,"During my continuous studies, I performed the following projects:

- Redesigned the site of a roofing materials plant, turning it into a modern and convenient landing page with a unique structure.
- Created a landing page for a tea studio, focusing on making it attention-grabbing and stylized for potential clients.
- Developed an online store for board games, utilizing elements of AI.
- Improved the Ukrainian cinema network, Multiplex application through detailed UX research and proposing solutions for main inconveniences.

In my current role, I have been constantly developing skills in Ui/Ux design. I have mastered Figma (component, variants, auto layout, constraints) and also use Photoshop and Illustrator. Additionally, I am proficient in Webflow and After Effects. I continue to expand my knowledge in web design and incorporate my Ukrainian heritage into my projects, providing them with a unique and creative style."
27,"- HTML5, CSS3 (responsive and adaptive design), SASS/LESS, flexbox, GIT, basic knowledge of JavaScript, React.js (able to split into components for developer's work), Bootstrap
- Experience freelancing as a designer, prioritizing daily work with clients and projects
- Proficient in Adobe programs such as Photoshop, Illustrator, InDesign, and Procreate
- Remote work creating 2D characters for training videos
- Currently focused on developing skills in UI/UX design, with a deepening knowledge of Figma"
28,"I have four years of experience as a Project and Product Manager, overseeing 74 website projects and leading the development of mobile applications. Skilled in all stages of development.

Design Experience:
- Freelance UI/UX Designer
- Landing page and online store design
- Prototyping and layout on Tilda
- Creation of logos, corporate identity, business cards, and advertising banners

Work Experience:
- Netpeak Group UI/UX Designer
- Designed blogs and websites on various topics
- Created landing pages on Tilda
- Developed logos

- Netpeak Group Project/Product Manager
- Managed mobile apps and website development team
- Conducted manual product testing
- Oversaw workflow from technical tasks to production
- Established communication channels with stakeholders
- Organized retrospectives, backlog grooming, and planning poker
- Created prototypes and worked with analytics tools
- Analyzed competitors using App Annie, Alexa, Sensor Tower

Seeking:
- Interesting projects and professional growth
- Well-organized management processes
- Comfortable workplace and friendly team

Looking for a company that prioritizes employee development and societal impact through its products and culture."
29,"Graphic/Motion Designer
Freelance | February 2022
- Designed and animated motion graphics for social media platforms using Adobe After Effects and other software tools
- Stayed up-to-date on design and animation trends through online courses and workshops
- Portfolio available on Instagram page Kara_mond

Event Manager
DKG | November 2021 - January 2022
- Implemented innovative event promotion strategies
- Developed feedback surveys and post-event reports
- Organized email campaigns and wrote scripts for them
- Coordinated internal resources to ensure project completion

Social Media Manager
Freelance | October 2020 - 2022
- Executed social media strategy across 6 company brands on Instagram and Facebook
- Created and scheduled content, videos, and images to increase brand awareness
- Reported key performance indicators for each platform
- Utilized Photoshop and After Effects to create custom visuals for campaigns

Conference Project Manager
BCF | May 2019 - August 2021
- Managed full cycle of event planning for conferences across various industries
- Led in-house and remote teams, overseeing up to 6 projects simultaneously
- Organized 25+ conferences with a focus on feedback analysis for future improvements

PR Manager (Internal Communications)
KazTransOil | December 2015 - August 2017
- Crafted articles and press releases for internal communications
- Managed relationships with the media
- Organized charity events on behalf of the company
- Created daily and weekly news updates for internal stakeholders"
30,"Experience:

Aug. 2021 - Present
Advertising Manager
Agro-Industrial Group ‘Pan Kurchak’
- Responsible for managing social media marketing
- Oversight of website management
- Crafting product requirements documents for designers

Oct. 2020 - Sep. 2021
Social Media Manager
Advertising Agency ‘Ruden Agency’
- Development of content plans
- Creating and scheduling social media posts
- Designing illustrations for social media

Skills:
- Proficient in creating intuitive wireframes
- Experienced in designing interactive prototypes
- Skilled in adapting designs for responsive interfaces
- Capable of mapping out user flows to enhance user journeys
- Quick learner in new design tools and techniques
- Open to feedback and constructive criticism for continuous improvement

Other:
- Strong emphasis on user-centric design through market research
- Experience in collaborating with clients and incorporating feedback
- Ability to work effectively in a team setting
- Dedicated to optimizing user experiences in various design projects

Objective:
Seeking a full-time position in a company focused on simplifying and improving daily lives. Dedicated, reliable, and prepared to tackle challenging tasks."
31,"Department Director
- Promoted to department director less than a year after starting at previous company
- Managed team in developing Furry Finder web service for finding lost pets
- Led redesign of Skandi restaurant website, improving readability, user experience and functionality
- Designed Getshop App for selecting gifts with in-app payment options
- Completed projects during training and courses"
32,"I have completed a Web design course and a Mobile application design course in PROJECTOR Institute

GBS IT , StartUp - oct 2022 - now

- market and competitor research;
- constant collaboration and communication with the customer (owner) and the developer
- full design development from mockups to the finished solution;
- creation of 40+ design solutions of tables and their integration in the application (2D and 3D formats);
- animation of all transitions and active actions of the application

Upwork , Freelance working - may 2022 - now

- Developed a landing page design for PC and smartphone for a startup company that produces orthopedic pillows;
- Conducted market research and analysis, developed and worked out the idea, modeled and created the design of a mobile application called Sommelier, which includes a database of alcoholic beverages, a store, a poster of various gastronomic events, etc.
- Conducted an in-depth analysis and research of the Paired mobile application (competitor), proposed ideas and solutions that could improve it, and created a solution design. Proposed 2 conceptual hypotheses for changing the payment screen, described what solutions I expect as a result and created their solution design.
- Redesigned their web page.
- Positive experience of working as a leader of a team of 12 employees in my last job, focused on analytics, market research, top sales statistics, and working with data to improve and increase sales.
- Seeking to expand knowledge, learn new things, and become a successful and useful member of the team."
