,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
42,"**JUNIOR UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
A Junior UI/UX Designer with six months of experience in web design, prototyping, and applying UI/UX principles to create appealing and intuitive interfaces. Possesses practical skills in UX research and a foundational knowledge of mobile app development. Aims to contribute to high-quality products for users and businesses by joining a collaborative team. Eager to tackle new challenges in the web-design process.

**SKILLS**
**Hard Skills:** Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Canva, Wireframing, Prototyping, Design Systems, UI-Kits, Information Architecture, Adaptive Design, User Flow, Customer Journey Mapping (CJM), MVP Design.
**Soft Skills:** Curiosity, Empathy, Creativity, Attention to Detail, Critical Thinking, Communication.

**EXPERIENCE**
**UI/UX Designer** | GoIT
*   Designed for six months, gaining foundational experience in the field.
*   Applied understanding of UI/UX principles to create user-friendly interfaces.
*   Conducted UX research and analysis to inform design decisions.

**PROJECT WORK**
**ApartEase – Rental Apartment Web Service**
*   Contributed to the design of a user-friendly platform connecting travelers and apartment owners.
*   Applied skills in adaptive design, UI-kit creation, analysis, user flow, MVP design, CJM, wireframing, Adobe Photoshop, and Figma to support a seamless user experience for both parties.

**CAREER OBJECTIVE**
Seeking to join a progressive company to collaborate on creating effective, market-leading products. Committed to creating user experiences that exceed expectations and ensure project success and user satisfaction."
43,"JUNIOR UI/UX DESIGNER

A motivated Junior UI/UX Designer with foundational training and hands-on project experience in full-cycle design. Eager to contribute to a professional team, learn new skills, and create practical, user-centered interfaces.

EDUCATION & CERTIFICATION
Completed courses in UI/UX design, covering interface design, color theory, typography, and core principles for creating effective user experiences.

PROJECT EXPERIENCE

Indian Restaurant Website Redesign | Full-Cycle Design
Redesigned an outdated, non-mobile-adapted website with poor usability. Delivered a modern, responsive interface aimed at improving customer acquisition.

Turnabout – Travel Booking Web Service | Full-Cycle Design, Teamwork
Designed a platform for traditional and free housing rentals. Responsibilities included competitor analysis, persona creation, wireframing, and final design.

Rest Book – Mobile Application | Full-Cycle Design, Teamwork
Designed an application for selecting and booking restaurant tables. Responsibilities included competitor analysis, persona creation, wireframing, and design.

ADDITIONAL PROJECTS
During studies, created a landing page for a barbershop in Kyiv.

SKILLS & INTERESTS
Proficient in foundational UI/UX principles: interface design, color theory, and typography. Passionate about new technologies and industry trends. Creative, open to new knowledge, and focused on designing websites and mobile applications."
44,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location] | [Portfolio Link] | [LinkedIn Profile]

UI/UX Designer

A Junior UI/UX Designer with a foundational background in IT recruitment spanning over three years. This experience provides a strong understanding of Software Development Life Cycle (SDLC) and IT business processes, enabling effective collaboration within technical teams. Seeking a long-term position to contribute to and grow with a forward-thinking design team.

EXPERIENCE

**UI/UX Designer** | Self-Employed
[City, State] | [Start Date] – Present
*   Designed and developed two comprehensive mobile application projects from concept to high-fidelity prototype:
    *   A mobile application redesign for the Djinni platform.
    *   A bill-splitting mobile application.
*   Currently developing a new personal design project while pursuing first commercial opportunities.
*   Engaged in mentorship with a Senior UI/UX designer to review work, analyze design decisions, and accelerate skill development.

**IT Recruiter** | [Company Name]
[City, State] | [Dates of Employment]
*   Gained over three years of experience in IT recruitment, developing a practical understanding of technical roles, team dynamics, and project workflows.
*   Acquired in-depth knowledge of the Software Development Life Cycle (SDLC) and core IT business processes.

EDUCATION & CERTIFICATIONS

**From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more**
Completed an intensive course covering UI/UX design principles, Figma, design theory, and foundational CSS/HTML.

SKILLS

*   **Design:** UI/UX Design, Wireframing, Prototyping, Design Theory
*   **Tools:** Figma
*   **Technical Awareness:** SDLC, IT Processes, Basic HTML/CSS
*   **Soft Skills:** Communication, Collaboration, Analytical Thinking"
45,"**Professional Summary**
UI/UX Designer with a background in interior design, transitioning into digital product design. Combines a strong aesthetic sense from 20 years in furniture and interior design with formal training in UI/UX principles. Experienced in taking website projects from initial concept through to launch, including client communication, design execution, and basic development coordination. Seeking a collaborative professional team to contribute to and grow with.

**Experience**
**Freelance UI/UX Designer** | Present
*   Execute end-to-end design for Ukrainian brand e-commerce websites, from initial concept to final launch.
*   Collaborate on site development, including coordination for domain purchase, hosting setup, and payment system integration.
*   Conduct target audience research to inform design decisions, creating sitemaps and user journey maps.
*   Develop wireframes, interactive prototypes, and comprehensive UI kits with components and auto-layouts in Figma.
*   Apply principles of visual hierarchy, color theory, and typography to create accessible and user-friendly interfaces.

**Furniture & Interior Designer** | 20 years
*   Managed numerous client projects from concept to completion, developing strong client communication and project management skills.
*   Developed a refined sense of spatial layout, balance, and user-centered design applicable to digital interfaces.

**Education**
**UI/UX Design Program**
Alpaca - Tech & Digital School

**Technical Skills**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator.
*   **UI/UX Practices:** Wireframing, Prototyping, Component-Based Design, Auto Layout, UI Kit Creation, Sitemapping, User Flow Mapping.
*   **Web Fundamentals:** Understanding of HTML & CSS; completed a Webflow course.
*   **Core Design Principles:** Visual Hierarchy, Color Theory, Typography."
46,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [Portfolio Link]

UI/UX Designer & Graphic Designer

A self-motivated designer with experience in UI/UX and graphic design, seeking a full-time UI/UX designer position. Combines a strong foundation in visual design with skills in user-centered design processes, prototyping, and creating responsive interfaces.

EXPERIENCE

Freelance UI/UX Designer | Self-Employed | [Dates or ""Present""]
- Designed and executed a landing page project for an Employment Abroad agency, managing the process from brief and terms of reference to prototype and final interface design.
- Created responsive landing pages and mobile/web interfaces.
- Developed interactive prototypes and UI kits in Figma.
- Implemented basic animations within Figma.

Graphic Designer | [Company Name] | [Dates - Last 2 Years]
- Provided comprehensive graphic support for social media content.
- Developed creatives for targeted advertising campaigns.
- Executed design and prepress preparation for print materials, ensuring adherence to brand guidelines.
- Conceptualized and designed catalog layouts.
- Performed photo retouching.
- Contributed to website redesign projects, creating adaptive banners, icons, and selecting graphic content.

Graphic Designer | [Previous Company Name or ""Various Clients""] | [Dates - 4 Years Total]
- Accumulated 4 years of professional graphic design experience.

EDUCATION & CERTIFICATION

Web Designer Courses | KAMA
- Completed comprehensive coursework in web design.
- Participated in design marathons hosted by IT schools.

SKILLS

Design: UI/UX Design, Responsive Web Design, Landing Page Design, Prototyping, Graphic Design, Brand Identity, Print Design, Photo Retouching
Tools: Figma, Adobe Photoshop, Adobe Illustrator, Tilda
Deliverables: UI Kits, Interactive Prototypes, Wireframes, Creatives, Social Media Graphics, Print Materials, Catalogs, Adaptive Banners, Icons"
47,"**Professional Summary**
A UI/UX designer with extensive experience in advertising, print production, and full-scale advertising project management. Proven leadership in large-scale projects, specializing in the complete design cycle from concept to execution. Passionate about skill development and creating user-centric digital products.

**Professional Experience**
**UI/UX Designer**
*   Execute the complete design cycle for websites and web services.
*   Lead redesign projects to modernize outdated sites, focusing on improved usability and visual appeal.
*   Develop fully responsive designs adapted for desktop, tablet, and mobile devices.
*   Create comprehensive platform designs, including distinct user interfaces for different user roles (e.g., patients, doctors).
*   Collaborate with teams to define project goals centered on user needs.

**Project Experience**

**Webservice – Medical Appointment Platform**
*Team Leader, Web Service, Full Design Cycle*
*   Led the creation of a medical web service for finding and booking appointments with doctors.
*   Developed a convenient native service for both patients and doctors.
*   Designed three distinct user interfaces: for patients, for doctors, and for online consultations.
*   Created fully responsive adaptations for tablets and mobile phones.

**Sports Bar Website Redesign**
*Site, Complete Design Cycle*
*   Executed a complete redesign of an outdated and difficult-to-use website.
*   Updated the visual identity and transformed the site into an easy-to-use platform with table booking functionality.
*   Developed the project with a user-centric approach.
*   Delivered a fully responsive design adapted for tablets and mobile phones.

**Additional Project Experience**
*   Managed several website redesign cases.
*   Created product platform designs.

**Skills & Expertise**
*   UI/UX Design
*   Complete Design Cycle
*   Website & Web Service Design
*   Responsive Design (Mobile & Tablet)
*   User-Centric Design
*   Redesign & Modernization
*   Team Leadership
*   Project Management
*   Advertising & Print Production"
48,"**Objective**
Junior UI/UX Designer seeking a position within a friendly, mentor-led team to further develop skills and gain professional experience.

**Professional Experience**
*   Designed a presentation for Mikhail Fedorov, Minister of Digital Transformation of Ukraine, which was used to promote digital transformation to the mayors of Ukraine's large cities.

**Skills**
*   **UI/UX Design:** Stakeholder interviews, user interviews, user testing, creation of UI kits, work with design systems.
*   **Design Tools:** Advanced proficiency in Figma (auto-layout, components, variants, styles, plugins, animation, prototyping).
*   **Web Development Tools:** Advanced proficiency in WebFlow (CMS, responsive design, animations, publishing, integrations). Basic knowledge of HTML/CSS and Bootstrap.
*   **Core Strengths:** Strong visual design skills, attention to detail, ideation and proposal generation.

**Domain Experience**
*   **UI Design:** E-commerce (clothing shop web and mobile app), dentistry, public transport application, electronic document management system.
*   **UX & UI Design:** Pizza delivery service, recruitment and job board websites."
49,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location] | [Portfolio URL] | [LinkedIn URL]

Junior UI/UX Designer
A detail-oriented and user-focused designer with a background in pharmaceutical theory, applying analytical and user-centered thinking to create intuitive digital experiences. Seeking an internship or junior position to contribute to impactful design projects.

SKILLS
**Design Tools:** Figma, Adobe Photoshop
**Technical Skills:** Landing Page Design, Website Design, Mobile App Design, Website Redesign, User Flow Creation, Customer Journey Mapping (CJM), Material Design System
**Research & Analysis:** Competitor Analysis, User Surveys, User Personas
**Soft Skills:** Team Collaboration, Problem-Solving, Communication, Organization, Quick Learner

PROJECT EXPERIENCE

**PetDetective – Webservice Platform**
*   Designed a platform to help owners find lost animals and facilitate volunteer coordination.
*   Conducted competitor analysis and user interviews to identify essential functionality for user convenience.
*   Structured comprehensive informational content to guide users who find lost pets.

**Cucina di Catharina – Website Redesign**
*   Redesigned the website for a traditional Italian gravy brand to improve visual appeal and usability.
*   Restructured site information, incorporated high-quality photography, and streamlined content.
*   Implemented an accent color palette and a clear Call-to-Action (CTA) button.

**PresentPerfect – Mobile Application**
*   Designed a mobile app for sending personalized gifts with a streamlined user process.
*   Utilized the Material Design System and created over 40 detailed, animated screens.
*   Performed competitor app analysis and user interviews to define necessary functionality.
*   Developed user personas and user flows to guide the design process.

**IT School – Dashboard**
*   Created a functional dashboard prototype for both students and teachers to display key academic metrics.

**Timeless Home – Landing Page**
*   Designed a welcoming and conversion-focused landing page for a watch brand.
*   Developed an intuitive interface with a clear visual hierarchy to maintain user engagement and drive action.

PROFESSIONAL SUMMARY
Energetic and responsible designer passionate about creating helpful, intuitive interfaces that positively impact user experience. Combines core technical design skills with strong analytical abilities derived from a pharmaceutical background to approach problems with a user-centric mindset. A communicative team player who thrives on gaining new knowledge and executing complex tasks.

CAREER PREFERENCES
Interested in roles that offer: Career growth opportunities, a results-driven and open team environment, remote or hybrid work options, and a strong corporate culture that values ethics and employee contribution."
50,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [Portfolio URL]

UI/UX Designer

A motivated UI/UX Designer with practical experience in building websites, landing pages, and mobile applications. Focused on creating innovative, user-centered designs that enhance human-technology interaction. Eager to apply skills, contribute to a collaborative team, and pursue professional growth in a challenging environment.

SKILLS
*   Design Tools: Figma, Adobe XD, Adobe Photoshop
*   UI/UX Design: Wireframing, Animated Prototyping, Adaptive/Responsive Design, User Research, User Personas, Competitor Analysis, Color Theory, Typography, Composition
*   Soft Skills: Teamwork, Organization, Reliability, Performance Under Pressure

EXPERIENCE

UI/UX Designer | Non-Profit Charity Projects
*   Conducted independent UX research including competitor analysis and raw client data review to understand user needs.
*   Created user personas and designed solutions to address identified user problems.
*   Developed concepts, references, and graphic materials for websites.
*   Designed the layout and functionality for adaptive websites.

EDUCATION

[Name of Institution], [Location]
[Degree Name, e.g., Bachelor of Science in Design] | [Dates of Attendance]
*   Gained practical experience building websites, landing pages, and mobile applications.
*   Applied design tools (Figma, Adobe) to conduct UX research, create wireframes, and build animated prototypes.
*   Studied theoretical and practical aspects of UI/UX design, focusing on intuitive and aesthetically pleasing user experiences."
51,"James
Product Designer

Goal-driven and self-motivated Product Designer skilled in creating intuitive interactions and experiences driven by empathy and innovative thinking. Proven ability to develop systems that simplify user experiences, with a diverse skill set encompassing UI/UX design, Webflow development, WordPress development, and Shopify development. Combines a keen eye for design with a deep understanding of user experience principles to craft engaging and impactful digital products.

EXPERIENCE

Design Lead, Team 70 | Zuri Team, Inc. (Internship)
- Served as design lead for a team project developing ICON CITY, a responsive platform enabling developers, designers, and creatives to generate favicons for their projects.
- Showcased leadership skills and collaborated with a diverse team to deliver a successful product.

SKILLS

Product Design, UI/UX Design, User Experience (UX) Principles, Intuitive Interaction Design, Webflow Development, WordPress Development, Shopify Development, Empathetic Design, Innovative Thinking, Problem-Solving, Leadership, Collaboration, Detail-Oriented."
52,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location (Optional)] | [Your Portfolio/Website URL]

UI/UX Designer

Professional Summary
Dedicated UI/UX Designer focused on creating convenient, understandable, relevant, and attractive digital products to attract users, simplify interaction, and achieve business goals. Skilled in conducting client and competitor analysis, defining project goals, and executing a full design process from low-fidelity to high-fidelity prototypes, visual style development, animation, and preparation for implementation. Seeking a full-time role in a result-oriented company that offers career growth, a supportive team, and interesting projects.

Core Competencies
*   User-Centered Design
*   Wireframing & Prototyping (Low & High-Fidelity)
*   Visual Design & Animation
*   Responsive & Adaptive Design
*   Competitor & Market Analysis
*   User Persona & User Flow Development
*   Web & Mobile Application Design
*   Landing Page & Website Design
*   Team Collaboration & Project Ownership

Professional Experience

UI/UX Designer | Project-Based & Personal Projects
*   Developed landing pages, web services, mobile applications, and responsive website adaptations.
*   Conducted initial analysis of client needs and potential competitors to establish project goals.
*   Adapted designs to target audiences using a step-by-step approach from concept to high-fidelity prototypes.
*   Created visual styles, animations, and prepared design handoff for website implementation.

Project Experience

Handyhelper Web Service
*   Collaborated with a team to develop an MVP for a dual-purpose service: a platform for finding service performers and a freelance exchange for workers.
*   Focused on designing the job seeker interaction flow to ensure ease of use, clarity, and a sense of security and reliability.
*   Responsibilities included creating user personas, building user flows, developing hi-fi prototypes, designing the user interface, animating prototypes, and adapting pages for tablets and mobile devices.

Website Redesign | Mainsail Realty Company
*   Redesigned a real estate service website to modernize the interface and improve clarity and simplicity for users.
*   Developed responsive adaptations for tablets and phones.
*   Analyzed competitor sites to enhance company relevance.
*   Created a detailed redesign prototype with specific structural improvements to reviews and property cards.
*   Selected typography, defined the visual concept, and adapted the final design for various devices.

Career Objectives
Seeking a full-time position within a friendly, supportive, and result-oriented team. Interested in opportunities for career growth and partial remote work. A quick learner, diligent, and responsible professional ready to solve assigned tasks."
53,"**Objective**
Aspiring Junior Web Designer with a background in UI/UX design, seeking to contribute to interesting projects within a professional team. Eager to improve qualifications, learn new technologies, and support company development through collaborative work.

**Education**
UI/UX Design | Go IT

**Skills**
Competitive Analysis, User Personas & JTBD, Customer Journey Map, Brainstorming, User Flow, Wireframes, Visual Design, Adaptation

**Project Experience**
*   **Sugaring Landing Page** | UI/UX Design
    *   Created a landing page for a sugaring salon as a student project.
*   **Indian Cafe Website Redesign** | UI/UX Design
    *   Redesigned the website for an Indian cuisine restaurant.
*   **Animal Stories Web Service** | UI/UX Design (Joint Project)
    *   Contributed to a team project developing a web service for finding lost animals.

**Additional Information**
Open to UI/UX design projects including landings, websites, web services, and mobile applications."
54,"[Your Name]
[Your Contact Information]

Objective
A detail-oriented designer focused on making web and mobile applications simpler and more user-friendly. Seeking to apply skills in UX research, interface design, and project management to create efficient, intuitive user experiences.

Professional Experience

Independent UX/UI Designer & Project Manager
•	Designed and developed the ""ALTIMA"" cryptocurrency exchange mobile application as an independent project. Created a reliable, user-friendly service with a minimalist interface to simplify cryptocurrency trading. Implemented features for fast verification.
•	Conceived and designed ""WashHouse,"" a web service to simplify ordering and managing cleaning services. Focused on creating a convenient process for clients and providers, enabling remote transactions and secure online payment without requiring in-person meetings.
•	Utilized various UX research methods to inform intuitive and effective design decisions across all projects.
•	Collaborated with developers and teams to effectively convey design ideas and ensure successful project implementation.

Graphic Designer and Manager | Advertising and Printing Agency
•	Served as a graphic designer and manager, handling multiple client projects simultaneously.
•	Developed graphics and visual materials for print and digital advertising campaigns.

Skills & Methodology
•	Design & Prototyping: Figma, Adobe Photoshop, Adobe Illustrator, Protopie for high-fidelity interactive prototypes.
•	UX Research: Application of various methods to understand user needs and behaviors, ensuring product convenience and ease of use.
•	Project Management: Skilled at working independently and in teams, managing multiple projects from concept to completion.
•	Professional Development: Continuously improves skills and knowledge; draws inspiration from industry leaders like the Nielsen Norman Group.

Personal Attributes
•	Interested in modern trends and technologies in web and mobile design.
•	Open to new ideas and collaboration.
•	Committed to creating efficient interfaces and values professional growth."
55,"Alina
Junior UI/UX Designer

Highly motivated designer with 6 months of experience, passionate about creating captivating and accessible user experiences. Expertise in web design, competitor analysis, and delivering aesthetically pleasing, functional solutions. Strong collaborator and effective communicator committed to continuous growth and staying current with design trends. Seeking a remote position with a company focused on making everyday life and business more productive and convenient.

EXPERIENCE

Academic Design Projects

Beauty Salon Website
• Conducted meticulous research and competitor analysis to identify industry improvements.
• Created a mood board to capture the salon’s desired aesthetic and essence.
• Developed detailed wireframes, focusing on user experience and navigation.
• Implemented a visually cohesive design incorporating branding, color schemes, and typography.

Cleaning Company Web Service
• Performed thorough audience research to understand target market preferences.
• Applied the Design Thinking methodology through Define, Ideate, and Design phases.
• Developed an innovative and user-friendly interface.
• Ensured accessibility and responsiveness by implementing an adaptive design for tablet and mobile devices.

SKILLS

Hard Skills: UI Design, UX Design, Prototyping, Typography, Competitor & Audience Research, Wireframing, Adaptive/Responsive Design, Design Thinking.
Instruments: Figma, Canva, Adobe Photoshop.
Soft Skills: Highly motivated, strong collaborator, effective communicator, passionate about connecting with new people, committed to continuous learning and development."
56,"Anna
Junior UI/UX Designer

Objective
A motivated Junior UI/UX Designer with six months of experience seeking to contribute to a creative team. Eager to create quality products for users and businesses, apply practical UX research skills, and take on new challenges in web design.

Skills
- UI/UX Design
- UX Research (Competitor Analysis, User Personas, User Flow)
- Design Systems
- Wireframing & Prototyping
- Responsive Design for Multiple Devices
- Team Leadership & Collaboration

Experience & Projects

**Team Leader, Web Service for Cleaning** | Team Project
- Led a team in developing a web service to connect users with providers of cleaning, gardening, and other services.
- Conducted competitor analysis and UX research, creating user personas and user flows.
- Developed wireframes, product design, and interactive prototypes.
- Ensured design adaptation for different devices.

**Independent UI/UX Designer** | Personal Projects
- **Website Redesign for Sophie Scholl Realschule:** Independently redesigned a school website with the goal of creating a modern, user-friendly, and aesthetic design that is simple and understandable for users.
- **Landing Page:** Designed and developed a landing page project."
57,"Bohdan
UX/UI Designer for Web and Mobile Applications

Summary
A dedicated UX/UI designer with training and project experience focused on creating usable and attractive designs. Skilled in user research, interface design, and collaborating with clients and teams. Eager to contribute creativity and a commitment to excellent user experiences in a collaborative environment.

Experience
**UX/UI Designer** | Training & Project Work
*   Completed a year of specialized training in UX/UI design, executing various projects and tasks focused on usability and visual design.
*   Served as a team leader in a collaborative team project, coordinating tasks and goals.
*   Actively communicate with developers and stakeholders to achieve common project objectives.
*   Adapt to new technologies and design trends to implement effective solutions.

Projects
**Architecture Portfolio Website**
*   Met with the client to determine project goals and requirements.
*   Conducted research in the architecture field and curated relevant visual assets (photos, videos).
*   Designed the site structure and defined key sections (portfolio, services, projects, contacts).
*   Created a full site design that reflects architectural aesthetics, utilizing high-quality imagery and intuitive navigation.

**iPhone E-commerce Website**
*   Researched the Apple brand identity and iOS interface principles to guide site design.
*   Gathered key information on new iPhone models, including specifications and functionality.
*   Developed site layouts employing a minimalist design, emphasizing product imagery and user-friendly navigation.
*   Structured content integration for different iPhone models, including features, pricing, and purchase options.

Skills
*   UX/UI Design for Web & Mobile
*   User Research & Information Gathering
*   Client Consultation & Requirement Definition
*   Site Structure & Information Architecture
*   Visual Design & Aesthetic Layout
*   Team Collaboration & Leadership
*   Stakeholder & Developer Communication
*   Adaptability to Feedback & New Trends"
58,"Lilya
Junior UI/UX Designer

Passionate junior UI/UX designer focused on creating user-centered designs for landing pages and web services. Currently enhancing skills through UI/UX design courses at GoIT (March 2023 - present). Seeking to contribute and grow within a design team, leveraging a background in sales that developed strong communication, patience, stress resistance, and creativity.

PROJECTS

Landing Page for FloverLover Flower Shop
- Conducted target audience and competitor analysis.
- Created a moodboard to guide visual direction.
- Developed a landing page prototype.
- Designed the site’s UI Kit.

Website Redesign for Kindergarten
- Updated the website interface for improved user experience.
- Revamped typography and color scheme.
- Performed competitor and target audience analysis.
- Created adaptive designs for mobile and tablet versions.

Travel Web Service Project
- Analyzed user personas for the service.
- Conducted competitor analysis.
- Created a prototype for the web service.

SKILLS & QUALITIES
- UI/UX Design Fundamentals
- User Research & Analysis
- Wireframing & Prototyping
- Visual Design (Typography, Color)
- Responsive & Adaptive Design
- Communication
- Patience & Stress Resistance
- Creativity

EDUCATION
UI/UX Design Courses | GoIT | March 2023 - Present

PROFESSIONAL EXPERIENCE
Sales Manager
- Developed skills in client communication, negotiation, and creative problem-solving."
59,"Max
Digital & UI/UX Designer

Professional Summary
A dedicated Digital and UI/UX Designer with over two years of professional experience and a foundational passion for graphic design spanning eight years. Combines formal education in computer graphics with continuous self-study to deliver comprehensive design solutions. Expertise extends from website interface design to promotional materials, enabling full-service support for clients. Proven ability to enhance client value through a cohesive design strategy.

Education
University of the Arts, 2018 – Present
Major in Computer Graphics and Design

Professional Experience
Freelance Digital & UI/UX Designer | 2020 – Present
Working via Ukrainian, Russian, and Upwork freelance platforms.

- Develop website designs and promotional material complexes for clients, maximizing project value.
- Designed web interface and promotional materials for a gaming website, including assets later used for a CS GO roulette launch and broadcast during online tournaments and on StarLadder.
- Created a winning design for a cat adoption center website for the Zoolux veterinary network.
- Execute all designs in Figma or Adobe XD, with emphasis on SEO optimization, functionality, and mobile responsiveness.
- Build landing pages on Tilda or Wix based on client preference, utilizing Zero block configuration for Tilda projects.

Skills & Competencies
- Digital Design: Adobe Photoshop, Illustrator (4 years)
- UI/UX Design: Figma, Adobe XD, Sketch, Azure RP (2 years)
- Photo Editing: Adobe Photoshop, Lightroom, Camera RAW (4 years)
- Video Editing: Familiar with Adobe Premiere Pro, After Effects, Animate
- Platforms: Tilda, Wix
- Core Strengths: Client-focused design strategy, responsive design, SEO-aware design principles, strong communication, and team collaboration.

Additional Note
Eager to contribute to a collaborative and supportive team environment and willing to discuss flexibility regarding project deadlines and scheduling. Ready to complete a test task."
60,"Yana
UX/UI Designer

Professional Summary
A dedicated UX/UI designer proficient in Figma, Adobe Illustrator, and Adobe Photoshop. Skilled in utilizing styles, components, variants, and autolayouts to create modern, minimalist, and functional designs. Possesses a strong understanding of usability principles, typography, and adaptive design, with experience in creating websites and interactive prototypes. Knowledgeable of Google Material Design and Apple Human Interface Guidelines. Eager to contribute to innovative projects within a passionate, professional team.

Skills
• Design Tools: Figma, Adobe Illustrator, Adobe Photoshop, Miro
• Core Competencies: Styles, Components, Variants, Autolayouts, Wireframing, Interactive Prototyping
• Design Knowledge: Typography, Raster & Vector Graphics, Usability Principles, Adaptive Design, Competitor Analysis, User Profiles
• Design Systems: Google Material Design, Apple Human Interface Guidelines

Experience

Landing Page Design for a Sugaring Salon
• Conducted competitor analysis and created user profiles.
• Applied principles of color theory and typography to design a complete landing page.

Website Redesign Project
• Redesigned an existing website, creating wireframes and a working interactive prototype.
• Developed a component kit and utilized autolayout for product cards.
• Implemented components and variants to ensure design consistency.

Career Preferences
Seeking roles with clear management and flexible working hours. Open to full-time or part-time positions. Interested in remote work within product companies, social projects, or the e-commerce industry."
61,"Yulia
Junior UI/UX Designer

Summary
A junior UI/UX designer with experience in freelance graphic and UI design. Skilled in creating visual identities, digital interfaces, and engaging content for diverse clients. Proficient in Figma and fluent in English and Polish. Seeking to contribute to a creative agency environment that values innovation and collaboration.

Professional Experience
Freelance Graphic & UI Designer | 2019 – Present
- Developed logos and brand identities for small brands to enhance product promotion on Instagram.
- Designed visually engaging social media profile designs and produced visual content including photography and video.
- Served clients across food manufacturing, clothing and accessories brands, and local services.
- Designed landing pages, micro-pages, resume layouts, and internal company presentations on a project basis.
- Gained UI design experience and advanced skills in Figma.
- Maintained organization and self-motivation while managing client communication to ensure project needs were met.

Education
Mobile Apps Design Course | Projector | Completed May 2023
UX/UI Design Courses | Beetroot Academy | Completed January 2022

Skills
- UI/UX Design (Landing Pages, Micro-pages, Mobile Apps)
- Graphic Design (Logo & Brand Identity, Social Media Design)
- Visual Content Creation (Photography, Video)
- Tools: Figma
- Languages: English (Fluent), Polish (Fluent)

Core Competencies
- Problem-Solving
- Adaptability
- Team Collaboration
- Client Communication
- Self-Motivation"
62,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [Portfolio Link]

UI/UX Designer passionate about creating logical, intuitive, and modern user experiences. Focused on utilizing best practices and empathizing with user needs to ensure smooth, effortless journeys.

**PROFESSIONAL EXPERIENCE**

**UI/UX Design Certification Project**
*Designed a responsive e-commerce website in collaboration with a team of six designers and an expert mentor.*
- Solved complex design challenges, including designing an order builder function according to all stakeholder requirements.
- Performed competitive research and SWOT analysis to analyze the market niche.
- Developed and distributed a user survey for targeted user groups, acquiring insights through quantitative and qualitative research.
- Created user personas, customer journey maps (CJM), and information architecture.
- Utilized business requirements and UX best practices to create a logical and intuitive user journey.
- Developed wireframes, prototypes, and final visual designs, optimizing the website for mobile devices.
- Conducted usability testing to validate design decisions.
- Composed a comprehensive UI kit using atomic design methodology.
- Ensured the UI met all accessibility standards and complied with Material Design and Human Interface Guidelines.

**SKILLS**

**Design & Prototyping:** Figma (FigJam, Auto Layout, Components & Variants, Styles, Prototyping), Wireframing, Prototyping
**Research & Analysis:** Competitive Analysis, SWOT Analysis, User Surveys, Quantitative & Qualitative Research, Usability Testing
**UX Deliverables:** User Personas, Customer Journey Maps (CJM), Information Architecture
**UI Development:** Visual Design, Desktop & Mobile UI Design (iOS, Android, Responsive/Adaptive), UI Kits, Atomic Design
**Principles & Compliance:** Material Design, Human Interface Guidelines, Accessibility Standards

**SUMMARY**

A hands-on UI/UX designer with experience gained through an in-depth certification project. Successfully delivered a user-centered e-commerce website from research to execution. Seeking to join an ambitious team of strong specialists to implement complex projects together."
63,"JANE DOE
[Phone Number] | [Email Address] | [City, State] | [Portfolio URL] | [LinkedIn URL]

SUMMARY
Junior UI/UX Designer with 6 months of experience creating intuitive and visually appealing digital products. Passionate about leveraging design to solve problems and enhance user experience. Collaborative team player with excellent communication skills, seeking to contribute to a professional team and grow into a senior design role.

EDUCATION & CERTIFICATIONS
• Completed 6 Design Courses (Certificates with results available)
• Completed English Course (Certificate available)

PROFESSIONAL EXPERIENCE

UI/UX Designer | [Company Name, City, State or Freelance] | [Dates]
• Designed a website for rental agricultural and construction equipment.
• Executed a redesign of an IT company website.
• Responsibilities included:
    - Collaborating with cross-functional teams of developers and QAs.
    - Creating interface designs, including color schemes, typography, layouts, and icons.
    - Developing responsive web designs for desktop, mobile, and tablet.
    - Building prototypes and high-fidelity mockups.
    - Conducting user experience testing.

SKILLS
• UI/UX Design
• Responsive Web Design
• Wireframing & Prototyping
• Visual Design (Color, Typography, Layout)
• Mockup Creation
• Team Collaboration & Communication
• User Experience Testing

CAREER GOAL
Aspiring to learn from professionals, gain extensive practical experience, and develop into a Senior UI/UX Designer."
