,Optimized_gpt-3.5-turbo
10,"PROFESSIONAL SUMMARY

Graphic designer focusing on Publishing and Printing, currently studying at Kharkiv National University of Radio Electronics. Skilled in web design, UX/UI design, and graphic visualization with a passion for high-quality design work.

SKILLS

- Teamwork
- Empathy
- Enjoyment of work
- Punctuality and discipline
- Figma
- Adobe Illustrator
- Adobe Photoshop

EDUCATION

Kharkiv National University of Radio Electronics
- Department of Media Systems and Technologies, Publishing and Printing specialization
- Courses in Web Design and UX/UI Design from Genius.Space"
11,"PROFESSIONAL SUMMARY:
A seasoned designer with 10 years of experience in IT product lifecycles and methodologies
Experienced in leading creative teams, client communication, and project iteration

SKILLS:
- Project management
- Team leadership
- Project estimation
- Resource planning
- Client communication
- UI/UX design
- Graphic design

EXPERIENCE:
- Worked with a Big Four accounting firm
- Led creative teams and facilitated growth
- Proficient in project estimation, resource planning, and timeline management
- Presented concepts to diverse audiences and foreign stakeholders
- Advanced proficiency in English for effective communication

EDUCATION:
- College of Arts - Degree in Design"
12,"PROFESSIONAL SUMMARY:
- Over 8 years of experience in product design and UX, managing a team of 17 designers and completing 30+ projects
- Courses in Design Management and People Management 3.0

SKILLS:
- Design consultant in sales processes, pitching, and launching 20+ design projects
- Proficient in design tools like Photoshop, Illustrator, Sketch, InVision, Figma, and Principle
- Experienced in establishing and managing design teams for delivery processes or customer projects
- Fluent in English and proficient in written German communication
- Willing to work in outsource companies and product teams

EXPERIENCE:
- Portfolio demonstrating expertise in product design management, crypto products, and SaaS projects

EDUCATION:
- Completed courses in Design Management and People Management 3.0"
13,"PROFESSIONAL SUMMARY
- 6+ years of experience in startups, fintech, organization management, crypto, insurance, and healthcare
- Skilled in Web, Mobile, Dashboard, and Web applications design
- Experienced in hypothesis generation, research, wireframing, prototyping, team leadership, and stakeholder communication

SKILLS
- Hypothesis generation
- Research
- Wireframing and prototyping
- Usability testing
- Design system creation
- Team leadership
- Stakeholder communication
- Process flow mapping
- UI design
- Mentorship and feedback

EXPERIENCE
- Designed 8 award-winning projects on Behance
- Honorable mention in San Francisco Design Week
- Featured in The Very Best of Ukrainian Design
- Built a design system from scratch in a team of 3
- Led a team of 8 in project development and design implementation

EDUCATION
- [Insert relevant education here]"
14,"Professional Summary:
Experienced designer with a background in electronic commerce, advertising agencies, and entertainment. Skilled in graphic and web design, brand identity creation, digital advertising campaigns, and team management. Proficient in problem-solving with customer and user experience analytics. Well-versed in animation, motion design, video editing, layout design, and print preparation.

Skills:
- Graphic and web design
- Brand identity creation
- Digital advertising campaigns
- Team management
- Customer and user experience analytics
- Animation, motion design, video editing
- Layout design and print preparation

Experience:
- Senior Designer, Head of Design Team, and Art Director in electronic commerce
- Graphic Designer in advertising agencies
- Leading Designer in entertainment

Education:
- Relevant education and certifications in design or related fields"
15,"PROFESSIONAL SUMMARY
Digital 2D Artist & UI/UX Designer with experience in adaptive design, illustration, banner design, logo design. Proficient in Adobe Photoshop, Illustrator, Procreate App, and Figma. RED DOT award recipient for Brands & Communication Design.

SKILLS
- UI/UX Design
- Adaptive design
- Illustration (raster/vector)
- Banner design
- Logo design
- Adobe Photoshop, Illustrator, Procreate App, Figma proficiency"
16,"PROFESSIONAL SUMMARY

Digital designer with extensive experience in Marketing. Proficient in Photoshop, Illustrator, and Figma. Skilled in Webflow, UI/UX design, and digital analytics. Passionate about creating visually stunning designs to help brands grow. Experienced in working independently and in a team, with a focus on customer interface.

SKILLS
- Color sense, Color Theory, Composition
- Branding, Advertising, Illustration
- Web ads, Social media ads, Digital Design, Digital imagery, Digital Analytics, E-blast
- UI/UX design
- HTML/CSS
- WEBFLOW
- Figma, Photoshop, Illustrator

SOFT SKILLS
- Confidence to work independently and in a team
- Creative
- Interface directly with customers

EXPERIENCE
- In-House Manager: Worked as a designer for an American company. Implemented design strategies to support marketing campaigns. Supported client engagement and growth through visually appealing designs.

EDUCATION
- Dare IT - PRODUCT DESIGN
- HILLEL (IT SCHOOL) - BASIC WEB DESIGN
- CASES MEDIA - FIGMA (90)
- CASES MEDIA - Graphic design, Composition (91)"
17,"PROFESSIONAL SUMMARY:
Experienced Digital Graphic & UI/UX Designer with technical graphic design background. Skilled in web content development, logo creation, and vector illustrations.

SKILLS:
- Web content development
- Logo design
- Infographics
- UI/UX design
- Vector illustrations
- Quality control
- Client communication

EXPERIENCE:
Digital Graphic Designer (NDA) | July 2021 – Present day
- Web content development
- Creation of logos, posters, and event graphics
- Infographics
- Development of landing pages
- Design of presentations and training materials

Digital Graphic & UI/UX Designer (ReevArts) | July 2020 – July 2021
- Created 500+ designs for social media
- Developed 250+ designs for TV
- Produced UI/UX designs for 2 products
- Conducted quality control for animators' work
- Created illustrations for showreels and promos

Technical Graphic Designer (Polygraphy) | April 2019 – July 2020
- Developed designs for printing
- Created layouts for apparel and stickers
- Controlled in-house designers' work
- Ensured printing and cutting quality
- Developed technological maps"
18,"PROFESSIONAL SUMMARY:
Junior UI/UX designer with 6-month UI/UX design course completion and HTML/CSS proficiency. Skilled in Figma, Photoshop, and Illustrator for producing interactive prototypes and wireframes. Passionate about creating seamless user experiences and seeking a full-time position in a product company.

SKILLS:
- Design Software: Figma, Photoshop, Illustrator
- Interactive Prototyping
- Wireframing
- User Engagement
- Product Usability
- UI/UX Design

EXPERIENCE:
- Real Estate Website Redesign Project
  - Conducted user research and analysis
  - Developed modern and convenient design to attract customers
  - Created user personas and customer journey map

- Travel Website Booking Platform
  - Designed user-friendly platform for travel users and guides
  - Implemented features such as excursion search, registration, booking, and announcements

EDUCATION:
- 6-Month UI/UX Design Course
  - Studied HTML/CSS
  - Defended and presented 3 works including website redesign projects and mobile application for booking tables in restaurants"
19,"PROFESSIONAL SUMMARY
Experienced in product design and UX for over 8 years
Expertise in industry standard design tools: Photoshop, Illustrator, Sketch, InVisio, Figma, Principle
Skilled in shaping processes for a scalable design language
Implementing innovative communication modes for diverse user groups
Collaborative team player with strong design perspective in native app patterns
Excited to explore roles in UX/UI design prioritizing quality, user satisfaction, and creativity within cross-functional teams

SKILLS
- Product design
- User experience
- Industry standard design tools (Photoshop, Illustrator, Sketch, InVisio, Figma, Principle)
- Design systems development
- Communication design
- Team collaboration
- Native app patterns
- User satisfaction

EDUCATION
- [Your education details]"
20,"PROFESSIONAL SUMMARY
- Bachelor's degree in Design, Human-Computer Interaction, Computer Science, or related field.
- Over 8 years of experience in product design or UX.
- Proficient in design tools like Photoshop, Illustrator, Sketch, InVision, Figma.
- Portfolio available upon request.

SKILLS
- Experienced in creating and maintaining design systems.
- Skilled in establishing a scalable design language.
- Ability to implement innovative communication methods for diverse users.
- Strong collaboration skills in cross-functional teams.
- Focus on user-centered design for industry-leading experiences.

EXPERIENCE
- 8+ years of product design and UX experience.
- Proficient in industry standard design tools.
- Demonstrated ability in design system creation and maintenance.
- Strong collaborator in cross-functional teams.

EDUCATION
- Bachelor's degree in Design, Human-Computer Interaction, Computer Science, or related field."
21,"Professional Summary:
Highly skilled Interaction Designer with expertise in Figma, Illustrator, Protopie, and Photoshop. Experienced in creating low and high fidelity prototypes, vector illustrations, adaptive design, and logo creation. Demonstrated ability to improve user interfaces and experiences for web and mobile applications.

Skills:
- Figma, Illustrator, Protopie, Photoshop
- Low and high fidelity prototypes, vector illustration, adaptive design, logo creation
- UI/UX for web and mobile applications

Experience:
- Collaborated with cross-functional stakeholders on design strategies
- Created innovative design solutions to address user needs and business objectives
- Built and iterated on Figma prototypes to communicate ideas and user journeys
- Applied user-centered design principles and integrated UX research insights

Education:
- Bachelor's degree in Design, Human-Computer Interaction, Computer Science, or related field

Portfolio: [Include relevant link to work]"
22,"PROFESSIONAL SUMMARY
Team leader in the ""BudgetStay project"" with 2 personal Pet-projects. Leading the development of the landing page project ""Tantric massage salon Sensual"" and completing the mobile application project for reserving tables in the restaurant ""FoodieFinder"". Specializing as a UX/UI designer with experience in mobile app design and web service interface development.

SKILLS
- Product design
- UX/UI design
- Mobile app design
- Web service interface development
- Figma
- Design systems

EXPERIENCE
- FoodieFinder
- Sensual Temple
- BudgetStay

EDUCATION
- 8 years of experience in product design and UX."
23,"PROFESSIONAL SUMMARY:
Computer science teacher with 15 years of experience specializing in raster and vector graphics, 3D modeling, and programming languages. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva, and ProtoPie.

SKILLS:
- Adobe Photoshop
- Adobe Illustrator
- Canva
- ProtoPie
- Figma

EXPERIENCE:
- Taught topics on raster and vector graphics, 3D modeling, and programming languages at School Name

PROJECT EXPERIENCE:
Veterinary Clinic ""Aibolit"" Website Redesign:
- Conducted site redesign with full design cycle
- Analyzed the problem, created interface prototype, visual style, and final product

Coffee Time Mobile Application:
- Led mobile application design with full design cycle
- Developed interface prototype, visual style, and final product

EDUCATION:
Bachelor's Degree in Design"
24,"PROFESSIONAL SUMMARY
- Over 10 years of experience in layout design for publishing houses
- Skilled in creating layouts for books, magazines, and posters
- Proficient in page design, vector illustrations, bitmap images, and collages
- Completed UI/UX Design courses with focus on communication, UX research, wireframing, UI design, mobile app design, and web design

SKILLS
- Layout design
- Page design
- Vector illustrations
- Bitmap images
- Collages
- Communication
- UX research
- Wireframing
- UI design
- Mobile app design
- Web design

EXPERIENCE
- Mobios School: UX/UI web-design + mobile design (Sep 2021 — Dec 2021)"
25,"Professional Summary:
UI/UX designer with expertise in design principles, user research, wireframing, prototyping, and interaction design. Proven track record of collaborating with teams to deliver well-designed user interfaces and engaging user experiences. Committed to continuous learning and professional growth.

Skills:
- Design Principles
- User Research
- Wireframing
- Prototyping
- Interaction Design
- Attention to Detail
- Creativity
- User Feedback
- Communication
- Project Management

Education:
- UI/UX Design Courses
- Studied design principles
- Learned user research methods
- Explored wireframing and prototyping
- Delved into interaction design
- Received positive feedback from instructors and peers"
26,"PROFESSIONAL SUMMARY
Experienced designer specializing in Ui/Ux design for websites and applications. Skilled in using Figma, Photoshop, Illustrator, Webflow, and After Effects to bring a creative touch to projects.

SKILLS
- Ui/Ux design
- Figma
- Photoshop
- Illustrator
- Webflow
- After Effects

EXPERIENCE
- Redesigned roofing materials plant website

EDUCATION
- Ongoing studies in design and development field"
27,"Professional Summary:
Experienced front-end developer skilled in HTML5, CSS3 (responsive and adaptive design), SASS/LESS, flexbox, GIT, and basic JavaScript. Proficient in creating design systems for various devices and platforms. Familiar with industry standard design tools like Photoshop, Illustrator, and InDesign. Proficient in Figma and eager to develop UI/UX skills.

Skills:
- HTML5
- CSS3 (responsive and adaptive design)
- SASS/LESS
- Flexbox
- GIT
- Basic JavaScript
- React.js
- Design systems development
- Photoshop
- Illustrator
- InDesign
- Figma
- UI/UX design

Experience:
- Front-end Developer: Proficient in HTML5, CSS3, SASS/LESS, flexbox, GIT, and basic JavaScript. Experienced in creating design systems for different platforms. Familiar with React.js for component splitting."
28,"PROFESSIONAL SUMMARY:
Experienced Project and Product Manager with eight years of experience in UX design. Skilled in managing teams of developers and designers to create mobile applications and websites. Proficient in industry standard design tools and establishing design systems for various devices and platforms.

SKILLS:
- UX design
- Project and product management
- Team leadership
- Design tools (Photoshop, Illustrator, Sketch, Figma, InVision)
- Design system creation and maintenance
- Process shaping for scalable design language
- Collaboration within cross-functional product teams
- Native app patterns and user experiences

EXPERIENCE:
- Managed team of developers and designers to create mobile applications and websites
- Established and maintained design systems for usability across devices and platforms
- Shaped processes to establish scalable and consistent design language
- Collaborated with cross-functional product teams 
- Ensured strong design perspective with fluency in native app patterns and user experiences

EDUCATION:
Bachelor's Degree in Design
University Name
- Completed four design courses at Projector School"
29,"Professional Summary:
UX-UI Web Design Learner with experience in graphic and motion design. Skilled in creating and executing creative strategies for projects and brands.

Skills:
- Graphic and Motion Design

Experience:
- Freelance Graphic/Motion Designer | February 2022

Education:
- UX-UI Web Design Program | June 2022-Present"
30,"PROFESSIONAL SUMMARY

Skilled designer experienced in creating wireframes, prototypes, and responsive designs.
Quickly adapts to new design tools and techniques, enhancing user experiences.
Collaborative team player open to feedback for continuous improvement.

SKILLS

- High fidelity wireframing with tools like Figma.
- Designing interactive prototypes for effective communication.
- Translating desktop interfaces into responsive designs.
- Mapping user flows to enhance user journeys.
- Fluent in native app patterns.

EXPERIENCE

- Developed high fidelity wireframes with Figma.
- Designed interactive prototypes for user journeys.
- Translated desktop interfaces into responsive designs.
- Mapped user flows to improve experiences.
- Adapted to new design tools quickly.
- Sought feedback for continuous improvement."
31,"PROFESSIONAL SUMMARY
Bachelor's degree in Design with experience in product design and UX. Skilled in creating and maintaining design systems, implementing innovative communication modes, collaborating within cross-functional teams, and driving innovative design solutions.

SKILLS
- Proficient in Photoshop, Illustrator, Sketch, and Figma
- Experience with creating coherent design systems
- Knowledge of user-centered design methods
- Ability to create Figma prototypes
- Strong collaboration skills

EXPERIENCE
- Created & maintained design systems across multiple platforms
- Implemented innovative communication modes for diverse user groups
- Collaborated within cross-functional product teams
- Drove innovative design solutions for user & business needs

EDUCATION
Bachelor's degree in Design"
32,"Professional Summary:
Experienced product designer with 8 years of web and mobile application design experience. Skilled in creating innovative design solutions, conducting market research, and collaborating with cross-functional teams.

Skills:
- Proficient in design tools: Photoshop, Illustrator, Sketch, InVision, Figma, Principle
- Experience in creating and maintaining design systems
- Strong collaboration skills with cross-functional teams
- Knowledge of native app patterns and user experiences
- Familiarity with UX research and user-centered design principles

Experience:
- Completed Web design and Mobile application design courses at PROJECTOR Institute
- Designed desktop and browser applications on CRM systems
- Conducted market research, collaborated with stakeholders, and integrated design solutions
- Developed design solutions for 2D and 3D tables with animations
- Created landing pages for startup specializing in orthopedic pillows
- Developed Sommelier mobile app with database and store features
- Proposed improvements for Paired app and created solution designs
- Redesigned web pages
- Led team focusing on analytics, market research, and sales improvements

Education:
Bachelor's degree in Design, Human-Computer Interaction, Computer Science, or related field"
33,"PROFESSIONAL SUMMARY
- Bachelor's degree in Design, Human-Computer Interaction, Computer Science, or related field
- 8 years of experience in product design or UX
- Proficient in Adobe XD, Figma, and Sketch
- Skilled in developing responsive web designs
- Track record of prototyping and testing design with users

SKILLS
- Adobe XD, Figma, and Sketch proficiency
- Creating intuitive and aesthetically pleasing web designs
- Developing responsive web designs
- Effective collaboration in team projects
- Prototyping and testing design with users

EXPERIENCE
- 8 years in product design or UX
- Achieved effective, responsive, and aesthetically pleasing web designs

EDUCATION
- Bachelor's degree in Design, Human-Computer Interaction, Computer Science, or related field"
34,"PROFESSIONAL SUMMARY:
Experienced UI/UX designer with a track record of independent and collaborative project work. Skilled in competitor analysis, wireframing, design, and prototyping. Passionate about creating visually appealing and user-friendly websites.

SKILLS:
- UI/UX design
- Competitor analysis
- Wireframing
- Design
- Prototyping

EDUCATION:
- Bachelor's degree in Graphic Design or related field

Looking forward to utilizing my skills to contribute to innovative projects and deliver high-quality designs."
35,"PROFESSIONAL SUMMARY
Graphic designer with 8 years of experience creating visually appealing designs for websites, exhibitions, and promotional materials. Seeking to transition to UI/UX design for professional growth.

SKILLS
- Website design
- Infographic creation
- Logo design
- Print advertisement
- UI/UX design
- Social media banner design
- Product photography
- Video editing

EXPERIENCE
- Graphic Designer at ""Etere"" (11.2022 – 05.2023)
   - Developed printed promotional materials
   - Created infographics, logos, web banners
   - Designed advertisements for online and printed magazines
   - Created exhibition stands"
36,"PROFESSIONAL SUMMARY
UI/UX Designer • Freelance
Aug 2021 - Present

SKILLS
- UI/UX Design
- Design System Creation
- Market Research
- Usability Strategies
- Interface Analysis
- Prototyping
- UX Content Writing
- Visual Interface Design
- Animation and Micro-interactions Implementation

EXPERIENCE
- UI/UX Designer • Freelance
  - Focused on achieving business objectives through user-friendly interfaces.
  - Redesigned existing products.
  - Developed new product designs from scratch.
  - Conducted market and audience research.
  - Improved usability strategies.
  - Analyzed interfaces.
  - Prototyped layouts.
  - Wrote UX content.
  - Designed visual interfaces.
  - Implemented animations and micro-interactions."
37,"PROFESSIONAL SUMMARY
Experienced UI/UX and graphic designer with 1 year of experience in UI/UX Design and 4+ years in Graphic Design. Proficient in Figma for interface development. Skilled in creating User Personas, CJM, User Flow, wireframes, and prototypes. Knowledgeable in Material Design and iOS Human Interface guidelines. Experienced in creating adaptive websites and 2D animations in Adobe After Effects.

SKILLS
- UI/UX Design
- Graphic Design
- Figma
- User Personas
- CJM
- User Flow
- Wireframes
- Prototypes
- Material Design
- iOS Human Interface guidelines
- Adobe After Effects

EXPERIENCE
- UI/UX Designer (1 year)
- Graphic Designer (4+ years)"
38,"Professional Summary:
Experienced UI/UX designer skilled in redesigning websites and creating landing pages. Strong background in full-cycle design process with a track record of leading teams. Seeking a Junior UI/UX Designer role at an innovative and collaborative company.

Experience:
- Redesigned website for a real estate company to enhance functionality and engagement
- Created a landing page for a flower delivery service to boost sales opportunities

Skills:
- Proficient in industry-standard design tools like Photoshop, Illustrator, Sketch, Figma
- Strong collaboration skills with cross-functional teams
- Experience in creating and maintaining design systems for various devices and platforms

Education:
Bachelor's degree in Design

Portfolio:
[link to portfolio or relevant work]"
39,"PROFESSIONAL SUMMARY:
Experienced designer with 6 projects, including team collaborations. Proficient in Figma, Adobe Illustrator, Prototype, and Adobe Photoshop for mobile, web, responsive design, and logo design. Strong attention to detail and open to feedback.

SKILLS:
- Figma
- Adobe Illustrator
- Prototype
- Adobe Photoshop
- Design aesthetics
- Attention to detail

EXPERIENCE:
- Redesigned tattoo salon website for increased user traffic via competitor analysis.
- Created web service for finding lost pets with filter and match functionality.
- Developed restaurant table booking app with seat selection, guest count, and special request features."
40,"PROFESSIONAL SUMMARY:
Junior UI/UX Designer with knowledge in UI/UX design, Web, and Mobile design. Skilled in developing user-friendly interfaces and creating clear site structures.

SKILLS:
- UI/UX Design
- Web Design
- Mobile Design
- User Interface Development
- Site Analysis
- Competitor Research

EXPERIENCE:
- Redesigned website for a kindergarten to create a modern and user-friendly design
- Conducted research and analysis of competitors for design decisions

- Developed user-friendly website for a web service focused on changing environments
- Implemented suitable design for easy navigation and functionality

EDUCATION:
- Completed 6-month courses in UI/UX design at Go-IT company"
41,"PROFESSIONAL SUMMARY:
Interaction Designer specializing in graphic and UI/UX design. Proficient in Figma, Adobe Illustrator, and Adobe Photoshop. Skilled in redesign, research, personas, moodboards, adaptation, and Figma Smart Animate. Seeking opportunities to contribute to innovative design solutions.

SKILLS:
- Graphic Design
- UI/UX Design
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Redesign
- Research
- Personas
- Moodboards

EXPERIENCE:
- Interaction Designer specializing in graphic and UI/UX design
- Proficient in Figma, Adobe Illustrator, and Adobe Photoshop
- Skilled in redesign, research, personas, moodboards, adaptation, and Figma Smart Animate
- Portfolio includes projects such as CleanUp, Custom Concepts, and AnabioZ

EDUCATION:
- [Insert relevant education information from original resume]"
42,"Professional Summary:
Experienced in prototyping, web design, and UI/UX principles with a strong focus on creating appealing and intuitive interfaces. Dedicated to exceeding expectations and delivering excellent user experiences.

Skills:
- Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Canva
- Wireframes, prototypes
- Understanding of UX principles
- Design Systems, UI-Kit
- Information architecture
- Analysis

Experience:
- ApartEase: Create user-friendly rental apartment web service connecting travelers and apartment owners. Skills include Adaptive, UI kit, Analysis, User Flow, MVP, CJM, Wireframes, Adobe Photoshop, Figma

Education:
[Your education details here]"
43,"PROFESSIONAL SUMMARY:
Junior UI/UX designer with a solid background in UI/UX design, interface design, color theory, and typography. Skilled in design tools like Photoshop, Illustrator, Sketch, and Figma. Collaborative team player with a creative mindset.

SKILLS:
- UI/UX Design
- Interface Design
- Color Theory
- Typography
- Photoshop
- Illustrator
- Sketch
- Figma

EXPERIENCE:
- Redesigned Indian restaurant website for optimized mobile user experience
- Contributed to design of travel booking web service for housing reservations
- Designed mobile application for restaurant table booking

EDUCATION:
- Completed UI/UX design courses"
44,"PROFESSIONAL SUMMARY
Junior UI/UX designer with 3+ years of experience in IT recruitment. Solid understanding of SDLC and IT-business processes. Completed course in UI/UX design, Figma, design theory, and CSS/HTML. Mentored by senior UI/UX designer.

SKILLS
- UI/UX design
- Figma
- Design theory
- CSS/HTML

EXPERIENCE
- Completed course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more'
- Mentored by senior UI/UX designer

EDUCATION
- Ongoing self-learning in UI/UX design"
45,"PROFESSIONAL SUMMARY:
Experienced UI/UX designer with over 1 year of experience. Graduated from ""Alpaca - Tech & Digital School"" and currently working as a freelancer.

SKILLS:
- Proficient in Figma, Photoshop, Illustrator, and Webflow
- Skilled in target audience research, sitemap, user map, UIKIT, wireframing, prototyping
- Knowledge of hierarchy, color, and typography

EXPERIENCE:
- Completed projects for Ukrainian brands

EDUCATION:
- Graduated from ""Alpaca - Tech & Digital School"""
