,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
31,"**PROFESSIONAL EXPERIENCE**

**Department Director** | [Company Name]
[City, State] | [Month, Year] – [Month, Year]
*   Promoted to department director less than one year into tenure.

**PROJECTS**

**Furry Finder Web Service**
*   Developed a web service for finding lost pets as part of a team during a training program.
*   Created a platform where users could post and respond to ads for lost or found animals to facilitate contact.

**Skandi Restaurant Website Redesign**
*   Redesigned a restaurant website during a study project to improve usability and visual design.
*   Addressed poor readability by revising a dark color scheme and typography.
*   Simplified navigation by restructuring an excessive menu.
*   Enhanced the ""Reviews"" section by adding functionality for user feedback and new review submission.

**Getshop App**
*   Completed full-cycle design for a mobile application as part of a course project.
*   Designed ""Getshop,"" an app for selecting and delivering gifts.
*   Focused on creating an easy-to-use interface with integrated in-app payment functionality.

**SKILLS**

*   Web Service Development
*   User Interface (UI) Design
*   User Experience (UX) Design
*   Website Redesign
*   Mobile Application Design
*   Team Collaboration
*   Project Development"
32,"**PROFESSIONAL SUMMARY**
A dedicated design professional with experience creating user-centered solutions for web and mobile applications. Skilled in translating business requirements into functional designs through research, prototyping, and collaboration. Proven ability to manage projects from concept to completion in both startup and freelance environments.

**EDUCATION & CERTIFICATION**
PROJECTOR Institute
Web Design Course | Mobile Application Design Course

**PROFESSIONAL EXPERIENCE**

**GBS IT (StartUp)** | Oct 2022 – Present
*UI/UX Designer*
- Designed desktop and browser-based CRM application solutions from concept to final implementation.
- Conducted market and competitor research to inform design strategy.
- Collaborated directly with the product owner and developer to ensure alignment and feasibility.
- Developed full design processes, from initial mockups to polished final solutions.
- Created over 40 design solutions for data tables, integrating them into the application in both 2D and 3D formats.
- Animated all application transitions and interactive elements to enhance user experience.

**Upwork (Freelance)** | May 2022 – Present
*Freelance UI/UX Designer*
- Designed a responsive landing page for an orthopedic pillow startup, optimized for both PC and smartphone.
- For the ""Sommelier"" mobile application concept, conducted market research, developed the idea, and created full designs featuring a beverage database, e-commerce store, and event listings.
- Performed in-depth analysis of the competitor application ""Paired""; proposed improvement ideas and created solution designs.
- Developed two conceptual hypotheses for redesigning the payment screen, including expected outcomes and corresponding solution designs.
- Executed a redesign of the client's webpage.
- Leveraged prior leadership experience managing a team of 12, utilizing skills in analytics, market research, and sales data analysis to inform design and business decisions."
33,"**PROFESSIONAL SUMMARY**
A detail-oriented web and UI/UX designer skilled in translating user needs into intuitive, responsive, and aesthetically pleasing digital experiences. Proficient in applying design principles and modern tools to create effective interfaces from concept to prototype. Experienced in collaborative project environments, competitor analysis, and user-centered design processes.

**SKILLS**
*   **Design & Methodology:** UX/UI Design, Responsive Web Design, Wireframing, Prototyping, User Testing, User Flow Development, Competitor Analysis, Target Audience Definition
*   **Tools:** Adobe XD, Figma, Sketch
*   **Visual Design:** Colour Theory & Harmony, Typography, Layout Design
*   **Professional:** Team Collaboration, Constructive Feedback, Requirement Analysis

**PROJECT EXPERIENCE**

**Gifts&Fleurs | UI/UX Design Project**
*   Designed a flower and gift delivery app for scheduling deliveries for future events.
*   Conducted competitor analysis and defined target audience needs to inform design decisions.
*   Created a unique layout encompassing onboarding, home page, catalogue, favourites, cart, and user profile.
*   Developed a soothing pastel colour palette and selected legible typography, ensuring a consistent experience across various mobile device dimensions.

**Mr.Cleaner | Team UI/UX Design Project**
*   Collaborated in a three-person team to design a user-friendly website for a cleaning company.
*   Researched competitors, selected references, and analysed the target audience.
*   Participated in team discussions to prioritise features for the first product iteration.
*   Contributed to building a user flow diagram and created page layouts, specifically designing the main page.
*   Assisted in linking prototypes and adapting the final design for responsiveness across different devices.

**A Kids Place Childcare | Website Redesign**
*   Redesigned key pages of a kindergarten website to enhance visual appeal and user experience.
*   Created wireframes and developed full UI designs for selected pages.
*   Implemented interactive elements, including clickable CTAs, and developed a comprehensive UI Kit for design consistency.
*   Ensured a fully responsive design, adapting the website for optimal viewing on tablets and mobile devices.
*   Employed a bright, playful colour scheme and friendly interface to reflect the brand's joyful identity and improve navigation.

**DESIGN CAPABILITIES**
*   Develop effective interfaces by applying established design principles and best practices to optimise user interaction.
*   Create intuitive and aesthetically pleasing designs through a deep understanding of UX/UI theory and practice, based on thorough analysis of user needs.
*   Build responsive web designs using techniques like media queries and flexible layouts to ensure optimal display on all devices and screen sizes.
*   Enhance website readability and aesthetics through skilled selection of harmonious colour palettes and project-appropriate typography.
*   Employ prototyping and user testing processes, analysing feedback to make iterative improvements to the user experience.
*   Excel in teamwork by actively listening to project participants and constructively sharing ideas and suggestions."
34,"**UI/UX Designer**
Beginner UI/UX designer open to cooperation. Experienced in working both independently and within a team, with achievements in team communication and active participation in completing tasks.

**Projects**

**Matcha Tea | Website**
Goal was to create an interesting yet simple design. Completed project stages included competitor analysis, wireframing, design, UI-kit creation, and adaptation.

**HealthyLife | Web Service (Team Project)**
Worked on the design for a web service enabling users to find the right doctor and receive quality specialist care. Responsibilities included competitor analysis, wireframing, design, and prototyping.

**FloverLover | Landing Page**
Created a landing page for a flower delivery service for customer acquisition. Conducted competitor analysis, created a moodboard, and designed the page. The landing page allows visitors to see delivery terms, catalog, prices, and reviews.

**Tattoo Studio | Landing Page**
Created a practice site with the goal of achieving a modern style with a pleasant color combination to convey the cool atmosphere of a tattoo studio.

**Professional Expectations**
Seeking interesting work, earnings, and the opportunity to provide people with convenient and beautiful website designs, along with competitor and target audience analysis."
35,"**Professional Summary**
A dedicated graphic designer with experience in digital and print design, including web banners, exhibition stands, infographics, and corporate branding. Proven ability to enhance user engagement through targeted design, increasing clicks and conversions. Skilled in Figma, UX research, photo editing, and animation. Eager to transition into a UI/UX design role, bringing a strong foundation in visual design and a commitment to collaborative learning and professional growth.

**Experience**

**Graphic Designer**
Etere | 11.2022 – 05.2023
*   Updated the primary banner for the company website.
*   Designed exhibition stands, including for the NAB Show 2023.
*   Created comprehensive infographics for all company products.
*   Developed printed materials (booklets, business cards, flyers) for promotions and exhibitions.
*   Designed icons, logos, presentations, and banners for the website and social networks.
*   Created advertisements for online and printed magazines.

**Graphic Designer**
Online Store ""Profline"" | 05.2021 – 02.2022
*   Increased banner click-through rate by 25% and landing page conversion by 20%.
*   Added approximately 1,000 new product photos; contributed to a rise in repeat orders through loyalty program design.
*   Established a corporate style and redesigned the existing logo.
*   Designed banners for social media and landing pages in Figma.
*   Conducted UX research: analyzed target audience, determined needs and pain points, conducted surveys, and created UserFlow and UserMap.
*   Produced business cards, flyers, and various infographics.
*   Performed product photography, photo editing, video creation/editing, and animation for banners and websites.

**Skills**
*   **Design Tools:** Figma (Landing Page Design)
*   **Graphic Design:** Corporate Identity, Logo Design, Print Design (Booklets, Business Cards, Flyers), Infographics, Presentation Design, Icon Design
*   **Digital & Web Design:** Web Banners, Social Media Banners, Advertisement Design
*   **UX Fundamentals:** User Research, Target Audience Analysis, Survey Creation, UserFlow, UserMap
*   **Multimedia:** Product Photography, Photo Editing, Video Creation & Editing, Animation
*   **Exhibition Design:** Stand and Display Design"
36,"**GRAPHIC & UI/UX DESIGNER**

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer** • Freelance
Aug 2021 – Present
Redesigned existing products and created product designs from scratch to align business goals with user comfort. Responsibilities included:
- Establishing foundations and components for Design Systems (patterns, colors, typography, iconography).
- Conducting market and target audience research, alongside website usability analysis.
- Developing strategies to improve usability and increase conversion.
- Analyzing existing interfaces within the relevant site market.
- Executing layout prototyping, UX-writing, visual interface design, and animation/micro-interaction design.

**AR Mask Creator** • Freelance
Aug 2019 – May 2020
Created augmented reality masks for companies and social media bloggers on Instagram. Developed both animated masks and masks incorporating 3D objects.

**Graphic Designer** • Freelance
Mar 2017 – Oct 2019
Designed brand logos, including a project for a children's swimming club. Developed sticker packs for both print and digital use in messaging platforms like Telegram."
37,"**Professional Summary**
A UI/UX and Graphic Designer with 1 year of dedicated UI/UX experience and over 4 years of graphic design expertise, supported by an Advertising education. Proven ability to meet customer needs and successfully complete diverse design tasks through a user-centered approach.

**Professional Experience**
**UI/UX & Graphic Designer**

*   Developed interfaces from scratch using Figma.
*   Created User Personas, Customer Journey Maps (CJM), and User Flows based on in-depth user interviews and research.
*   Designed wireframes and interactive prototypes.
*   Applied Material Design and iOS Human Interface Guidelines.
*   Created adaptive/responsive versions of websites for various devices.
*   Produced 2D animations using Adobe After Effects.

**Project Experience**
*   **Mobile Application:** UI/UX design for a 24/7 video consultation app for doctors.
*   **Landing Page:** UI/UX and graphic design for an online driving school.
*   **Adaptive Website:** UI/UX design for a website offering home quest boxes.

**Skills**
*   **UI/UX Design:** User Research, Persona Creation, Customer Journey Mapping, User Flow, Wireframing, Prototyping (Figma), Adaptive/Responsive Design.
*   **Graphic & Motion Design:** Adobe After Effects (2D Animation).
*   **Design Guidelines:** Material Design, iOS Human Interface Guidelines."
38,"**Professional Summary**
UI/UX Designer skilled in full-cycle design from analysis to implementation for websites, landing pages, and mobile applications. Proven ability to lead projects, conduct competitor research, and create user-centered designs that enhance functionality and engagement. A responsible and creative professional seeking to contribute to user-friendly projects.

**Skills**
*   Full-Cycle UI/UX Design (Analysis, Wireframing, Prototyping, Implementation)
*   Website, Landing Page, and Mobile App Design
*   Competitor & User Research
*   User Persona Creation
*   User Flow & Customer Journey Mapping
*   Wireframing
*   Visual Design & Mood Boards
*   Team Leadership & Project Coordination

**Project Experience**

**Redesign for Mainsail Realty Company**
*   Redesigned the company website to improve functionality and visual appeal.
*   Conducted competitor analysis and created wireframes.
*   Designed a modern, responsive website with a clean, professional look reflecting the brand.
*   Organized content logically and implemented intuitive, user-friendly navigation.

**Landing Page for Flower Delivery Service ""Flower Lover""**
*   Created a landing page to advertise a new bouquet delivery service.
*   Executed full-cycle design including competitor analysis, mood board creation, wireframing, and final design implementation.

**Web Service for Cleaning Services**
*   Led a team project to design a web service for hiring cleaning company employees.
*   Managed organizational aspects as Team Lead.
*   Conducted competitor research and team brainstorming sessions.
*   Developed user personas, built user flow diagrams and a customer journey map.
*   Created wireframes and the final design for the service.

**Career Objective**
Seeking a Junior UI/UX Designer position in a company with strong corporate ethics and healthy working relationships. Interested in roles that offer remote work possibilities."
39,"UX/UI Designer

A designer with a passion for creating visually stunning and user-friendly websites and applications. Well-versed in design aesthetics with a strong attention to detail. Possesses a positive attitude toward criticism and a passion for learning. Proven ability to set goals and achieve them, striving to apply skills to optimize existing solutions. A good team player.

SKILLS
Figma, Adobe Illustrator, Adobe Photoshop, Prototyping
Mobile Design, Web Design, Responsive Design, Logo Design

PROJECTS
Tattoo Salon Website Redesign
Identified and addressed a problem with high user exit rates due to unclear hierarchy and unpleasant design. Conducted competitor research and analysis to inform the redesign solution.

Web Service for Finding Lost Pets
Developed a web service concept to help owners find lost animals faster. Designed functionality for users to create and filter ads by type, breed, and color. Included a map feature to show matches between lost and found animal postings within a user-defined radius, based on species and breed criteria.

Restaurant Table Booking Application
Created a concept for a graphical reservation application allowing users to view restaurant layouts, select specific tables, and book for a chosen time. Designed additional features for selecting the number of guests, preferred zones (e.g., smoking, quiet area), and special services (e.g., high chair, pet amenities). Incorporated functionality to choose from different venues (cafe, restaurant, bar) with varying menus and prices, including bill payment.

EDUCATION
Chemistry Education
Full-time or remote. Gained experience in considering diverse learning approaches to ensure a complete and effective educational experience."
40,"Oksana [Last Name]
Junior UI/UX Designer
[Phone Number] | [Email Address] | [Location] | [Portfolio Link]

Summary
Junior UI/UX Designer specializing in web and mobile application design. Focused on creating visually appealing, user-friendly interfaces with simple structures and intuitive navigation. Experienced in full design processes from research to execution, including redesigning existing sites based on user behavior analysis.

Education & Certification
Go-IT Company | 6-Month UI/UX Design Course
Successfully completed intensive courses, gaining practical knowledge in UI/UX, Web, and Mobile design.

Skills
UI/UX Design for Web & Mobile Applications
User Research & Competitor Analysis
Wireframing & Structure Development
Visual Design (Typography, Color, Icons, Logos)
Animation & Banner Design
Redesign & Usability Improvement
Figma, Adobe Creative Suite

Professional Experience
Junior UI/UX Designer | Course Projects
•   Developed and executed design for multiple projects within a structured study course.
•   Responsible for site aesthetics, user-friendliness, and intuitive interface design.
•   Created simple, clear site structures with convenient navigation systems.
•   Selected fonts, color backgrounds, icons, and designed logos, animations, and banners.
•   Improved existing websites by analyzing user behavior to identify pain points and opportunities.

Project Experience
Kindergarten Website Redesign
•   Redesigned an outdated kindergarten website to create a modern, user-friendly design aimed at attracting young parents.
•   Conducted initial research and competitor analysis to identify successful solutions and meet preschool education needs.

HOME for GUEST App (Web Service)
•   Designed a user-friendly website for a service facilitating work and rest exchanges in new environments.
•   Focused on creating an easy-to-use interface with a suitable design for a guest-host transaction platform.

Career Objective
Seeking a company that prioritizes and supports continuous professional growth."
41,"**Graphic & UI/UX Designer**

A motivated beginner designer focused on achieving excellence in visual and user-centered design. Proficient in creating logos, websites, and comprehensive design systems, with a commitment to delivering results and meeting deadlines.

**SKILLS**
*   **Design:** UI/UX Design, Logo Design, Website Design, Redesign, Guideline Development
*   **Process:** Research & Personas, Moodboards, Full-Circle Design (Analysis to Adaptation), Prototyping & Linking
*   **Tools:** Figma (Including Smart Animate), Adobe Illustrator, Adobe Photoshop

**PROJECT EXPERIENCE**

**Custom Concepts | Tattoo Studio Website Redesign**
Redesigned an existing tattoo studio website to improve user information access and appointment scheduling.
*   Updated color scheme and typography to enhance brand identity.
*   Introduced a clear Call-to-Action (CTA) button identity and improved page spacing (""air"") for better readability.
*   Restructured the FAQ section for increased functionality and user clarity.
*   **Tools:** Figma, Adobe Illustrator, Adobe Photoshop

**CleanUp | Cleaning Services Web Resource (Group Project)**
Co-created a website for connecting users with suitable cleaning service providers.
*   Served as a team leader, coordinating project tasks and collaboration.
*   Executed full-circle design from initial analysis through to final adaptation.
*   Developed the user interface, designed layouts, and implemented full prototype linking.
*   **Tools:** Figma, Adobe Illustrator, Adobe Photoshop

**AnabioZ | Men's Gift Shop Brand Guideline**
Developed a comprehensive brand guideline from concept to completion.
*   Created the original logo and defined its application across various media.
*   Established rules for brand consistency on different devices and physical signage.
*   **Tools:** Adobe Illustrator, Adobe Photoshop

**PROFESSIONAL SUMMARY**
A dedicated team member eager to contribute to a professional design environment. Combines a strong focus on results and timely task completion with a passion for learning from experienced colleagues and expanding practical skills."
42,"JUNIOR UI/UX DESIGNER

PROFESSIONAL SUMMARY
A Junior UI/UX Designer with six months of experience in prototyping, web design, and UX research. Possesses a solid understanding of UI/UX principles and a proven ability to create appealing, intuitive interfaces. Aims to join a team to create high-quality products for users and businesses and is eager to accept new challenges in the web-design process.

TECHNICAL SKILLS
*   Design Tools: Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Canva
*   Core Competencies: Wireframes, Prototypes, Design Systems, UI-Kit, Information Architecture
*   UX Methods: User Flow, Customer Journey Map (CJM), MVP Definition, Analysis
*   Development Knowledge: Basic understanding of mobile app development
*   Technical Execution: Adaptive/Responsive Design

SOFT SKILLS
Curiosity, Empathy, Creativity, Attention to Detail, Critical Thinking, Communication

PROJECT EXPERIENCE

ApartEase – Rental Apartment Web Service
Objective: To create a user-friendly and convenient platform connecting travelers and apartment owners, providing a seamless experience for both parties.
*   Applied UX research and analysis to define project requirements.
*   Developed wireframes, user flows, and a Customer Journey Map (CJM) to outline the user experience.
*   Created prototypes and a full UI-Kit, ensuring a consistent design system.
*   Designed adaptive interfaces using Figma and Adobe Photoshop to facilitate a functional MVP.

CAREER OBJECTIVE
Seeking to contribute to a progressive company by collaborating to create effective, market-leading products that ensure user satisfaction and project success."
43,"JOHN DOE
Junior UI/UX Designer
email@example.com | phone number | location | portfolio link

PROFESSIONAL SUMMARY
A motivated Junior UI/UX Designer with foundational training in interface design, color theory, and typography. Eager to contribute to a professional team, learn new skills, and apply a growing knowledge of design principles to create effective, user-centered digital experiences. Passionate about following industry trends and technologies.

EDUCATION & CERTIFICATION
Completed courses in UI/UX Design – Covered fundamentals of interface design, color theory, typography, and essential principles for creating effective user experiences.

PROJECT EXPERIENCE

**Redesign for an Indian Restaurant** | *Full-Cycle Design*
- Redesigned an outdated, non-mobile-adapted website to improve usability and meet user expectations.
- Created a new interface aimed at increasing customer acquisition.

**Turnabout – Travel Booking Web Service** | *Full-Cycle Design, Teamwork*
- Contributed to the design of a platform for renting housing (paid and free options).
- Conducted competitor analysis, created personas, developed wireframes, and executed final designs.

**Rest Book – Mobile Application** | *Full-Cycle Design, Teamwork*
- Contributed to the design of an application for choosing and booking restaurant tables.
- Conducted competitor analysis, created personas, and developed wireframes and designs.

ADDITIONAL PROJECTS
- Designed a landing page for a barbershop in Kyiv during coursework.

SKILLS & INTERESTS
**Design:** UI/UX Design, Interface Design, Wireframing, Color Theory, Typography
**Process:** Full-Cycle Design, Competitor Analysis, Persona Creation
**Interests:** Inspired by new technologies and latest design trends. Open to new knowledge and technologies. Enjoys designing websites and mobile applications."
44,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location] | [Portfolio Link] | [LinkedIn Profile Link]

**UI/UX Designer**

A Junior UI/UX Designer with over 3 years of professional experience in IT recruitment, providing a strong understanding of SDLC and IT business processes. Combines design training with hands-on project experience, seeking a first commercial design role for long-term collaboration.

**Skills**
*   UI/UX Design
*   Figma
*   Design Theory
*   HTML & CSS (Basic)
*   Understanding of SDLC & IT Processes

**Education & Training**
*   **From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more** | Completed
    *   Acquired foundational knowledge in UI/UX design, Figma, design theory, and basic CSS/HTML over a 4-month period.
*   Mentored by a senior UI/UX designer to analyze work and enhance learning.

**Projects**
*   **Djinni Platform Mobile Application** | Pet Project
    *   Designed the user interface and experience for a conceptual mobile version of the Djinni platform.
*   **Bill-Split Mobile Application** | Pet Project
    *   Created UI/UX designs for a mobile application intended to simplify splitting bills among users.

**Professional Experience**
*   **IT Recruiter** | [Company Name, City] | [Start Date] – [End Date]
    *   Recruited technical talent for over 3 years, developing a solid comprehension of software development life cycles and IT business operations.

**Note:** I am seeking opportunities for long-term cooperation and do not consider projects with customers based in Russia or Belarus."
45,"**Professional Summary**
UI/UX Designer with a background in interior design, transitioning into digital product design. Combines 1+ year of professional UI/UX experience with strong client communication skills and a history of managing projects from concept to launch. Proven ability to deliver designs that enhance user accessibility and contribute to business goals.

**Professional Experience**
**Freelance UI/UX Designer** | Present
*   Execute end-to-end design for Ukrainian brand e-commerce projects, from initial concept to final implementation.
*   Collaborate with clients to develop websites, including purchasing domains and hosting, and integrating payment systems.
*   Designed and launched an e-commerce website for a women's clothing brand, resulting in increased client sales due to improved site ease and accessibility.

**Furniture & Interior Designer** | 20 years
*   Managed and completed numerous client projects over two decades, developing strong client relations and project management skills.

**Education**
**UI/UX Design Program**
Alpaca - Tech & Digital School

**Technical & Professional Skills**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator
*   **UI/UX Competencies:** Target audience research, sitemapping, user journey mapping, UIKIT creation, component design, auto-layout, wireframing, prototyping
*   **Design Principles:** Visual hierarchy, color theory, typography
*   **Web Fundamentals:** Understanding of HTML & CSS; completed Webflow coursework"
46,"[Your Name]
[Phone Number] | [Email Address] | [Location (Optional)] | [Portfolio Link]

UI/UX Designer & Graphic Designer

A self-motivated designer with experience in UI/UX and graphic design, seeking a full-time UI/UX designer position. Combines freelancing experience in web design with 4 years of professional graphic design expertise.

EXPERIENCE

**Graphic Designer** | [Company Name] | [Dates of Employment, e.g., 2022 – Present]
*   Provided graphic support for social media content.
*   Developed creatives for targeted advertising campaigns.
*   Executed design and prepress preparation for print materials in compliance with brand guidelines.
*   Developed concepts and layouts for catalogs.
*   Performed photo retouching.
*   Contributed to website redesign, creating adaptive banners, icons, and selecting graphic content.

**Freelance UI/UX Designer** | Self-Employed | [Dates or ""Ongoing""]
*   Designed a landing page for an Employment Abroad agency.
*   Managed project phases including brief creation, development of technical specifications, prototyping, and interface design.

EDUCATION & CERTIFICATIONS

**Web Designer Courses** | KAMA
*   Participated in design marathons hosted by IT schools.

SKILLS

**UI/UX Design**
*   Landing Page Design
*   Adaptive & Responsive Design (Mobile & Web)
*   Prototyping
*   UI Kit Creation
*   Basic Animation (Figma)

**Graphic Design**
*   Social Media Graphics
*   Advertising Creatives & Targeting Assets
*   Print Design & Prepress
*   Catalog & Layout Design
*   Photo Retouching
*   Website Banners & Icons

**Software**
*   Figma
*   Adobe Photoshop
*   Adobe Illustrator
*   Tilda"
47,"[Your Name]
UI/UX Designer

Summary
A UI/UX designer with extensive experience in advertising, print products, and managing full-scale advertising projects. Proven track record as a team leader on large-scale design initiatives, from concept through execution. Passionate about creating user-centered digital products and constantly improving design skills.

Professional Experience
UI/UX Designer
• Lead the complete design cycle for websites and web services, including research, wireframing, prototyping, and final design execution.
• Manage full-scale advertising projects from concept to delivery.
• Specialize in creating fully responsive designs adapted for desktop, tablet, and mobile devices.
• Redesign outdated websites to improve usability and modernize visual identity.

Project Experience

Webservice – Medical Service | Team Leader, Full Design Cycle
• Led the design of a native medical web service for finding and booking doctor appointments.
• Developed three distinct user interfaces: for patients, for doctors, and for online consultations.
• Created a convenient and intuitive service tailored to the needs of both patients and medical professionals.
• Delivered fully responsive designs adapted for tablets and mobile phones.

Redesign – Sports Bar Website | Complete Design Cycle
• Executed a complete redesign of an outdated and difficult-to-use sports bar website.
• Updated the visual identity and transformed the user experience to be intuitive and easy to use.
• Implemented a key functionality for users to book tables online.
• Designed and delivered a fully responsive website adapted for tablets and mobile phones.

Additional Projects
• Several cases of website redesign.
• Creation of product platform design.
• Creation of a medical web service.

Skills & Expertise
UI/UX Design, User-Centered Design, Responsive Web Design, Website Redesign, Web Service Design, Design Leadership, Team Leadership, Project Management, Advertising, Print Design"
48,"**Objective**
Junior UI/UX Designer seeking a position in a collaborative team with mentorship to further develop skills and gain professional experience.

**Professional Experience**
*   Designed a presentation for Mikhail Fedorov, Minister of Digital Transformation of Ukraine, which was used to promote digital transformation to the mayors of Ukraine's large cities.

**Skills**
*   **UI/UX Design:** Stakeholder interviews, user interviews, user testing, creation of UI kits, work with design systems.
*   **Tools:** Expert in Figma (auto-layout, components, variants, styles, plugins, animation, prototyping). Expert in WebFlow (CMS, responsive design, animations, publishing, integrations).
*   **Technical:** Basic knowledge of HTML/CSS and Bootstrap.
*   **Soft Skills:** Strong visual design skills, attention to detail, ability to generate and propose ideas.

**Project Domains**
*   **UI Design:** E-commerce (clothing shop web and mobile app), dentistry, public transport application, electronic document management system.
*   **UX & UI Design:** Pizza delivery service, recruitment and job board websites."
49,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location] | [Portfolio Link] | [LinkedIn Profile]

Junior UI/UX Designer

A passionate Junior UI/UX Designer with a strong theoretical foundation and a background in the pharmaceutical field, which informs a user-centered design approach. Eager to apply skills in Figma and Adobe Photoshop to create helpful and intuitive interfaces that positively impact user experience. Seeking an internship or junior position to contribute as an energetic, organized team player and problem-solver.

SKILLS
**Design:** UI/UX Design, User-Centered Design, Responsive Design, Wireframing, Prototyping
**Tools:** Figma, Adobe Photoshop
**Technical:** Landing Page Design, Website Design, Mobile App Design, Dashboard Design, Website Redesign, Material Design System
**Research & Analysis:** Competitor Analysis, User Surveys, User Personas, User Flow, Customer Journey Mapping (CJM)
**Soft Skills:** Communication, Team Collaboration, Problem-Solving, Quick Learner, Organization

PROJECT EXPERIENCE

**PetDetective – Web Service**
*   Designed a platform to help owners find lost animals and facilitate volunteer coordination.
*   Conducted competitor site analysis and user interviews to identify essential functionality.
*   Structured comprehensive content to provide useful information for users finding lost pets.

**Cucina di Catharina – Website Redesign**
*   Redesigned a website for traditional Italian gravy to improve visual appeal and usability.
*   Restructured information architecture, incorporated high-quality photography, and streamlined content.
*   Implemented an accent color palette and a clear Call-to-Action (CTA) button.

**Mobile App – PresentPerfect**
*   Designed a mobile application for sending personalized gifts efficiently.
*   Utilized Material Design System, creating over 40 detailed and animated screens.
*   Performed competitor app analysis and user interviews to define required functionality.
*   Developed user personas and user flows to guide the design process.

**Dashboard for IT School**
*   Created a functional dashboard prototype for both students and teachers to display key academic metrics.

**Landing Page – Timeless Home**
*   Designed a landing page for a watch brand to create a welcoming user experience and drive conversions.
*   Developed an intuitive interface with a clear structure and visual hierarchy to maintain user engagement.

PROFESSIONAL SUMMARY

A quick and responsible learner with a passion for gaining new knowledge and tackling complex tasks. Proven ability to perform competitor analysis, conduct user research, and translate findings into user flows and CJMs. Committed to creating designs that are both aesthetically pleasing and highly functional.

CAREER PRIORITIES
*   Opportunities for career growth
*   Results-focused and open team environment
*   Remote or hybrid work flexibility
*   Positive corporate culture that values ethics and employee contribution"
50,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [Portfolio URL]

UI/UX Designer

A detail-oriented and user-focused UI/UX Designer seeking to contribute to innovative projects within a collaborative team environment. Combines theoretical knowledge with practical experience in building websites, landing pages, and mobile applications. Committed to creating intuitive, user-centered designs that improve human-technology interaction.

SKILLS
*   **Design Tools:** Figma, Adobe XD, Adobe Photoshop
*   **UI/UX Design:** Wireframing, Animated Prototyping, Adaptive/Responsive Design, User Research, User Personas, Competitor Analysis, Color Theory, Typography, Composition
*   **Soft Skills:** Team Collaboration, Organization, Reliability, Performance Under Pressure

EXPERIENCE

**UI/UX Designer | Non-Profit Charity Projects**
*   Conducted independent UX research, including competitor analysis and client data review, to identify user needs and inform design decisions.
*   Created user personas and developed design solutions to address user problems.
*   Developed concepts, references, and graphic materials for client websites.
*   Designed the layout and functionality for adaptive websites.
*   Built wireframes and animated prototypes to visualize design concepts.

**Practical Academic Projects**
*   Gained hands-on experience building websites, landing pages, and mobile applications.
*   Applied design principles and tools to real-world projects throughout studies.

EDUCATION
[Your Degree, e.g., Bachelor of Science in Design] | [University Name] | [Graduation Date]
*   Studied theoretical and practical aspects of UI/UX design, focusing on crafting intuitive and aesthetically pleasing user experiences."
51,"James
Product Designer

Goal-driven and self-motivated Product Designer skilled in creating intuitive interactions and experiences driven by empathy and innovative thinking. Possesses a keen eye for design and a deep understanding of user experience principles to craft engaging and impactful digital products. Thrives on learning and developing systems that simplify user experiences.

EXPERIENCE

Design Lead, Team 70 | Zuri Team, Inc. (Internship)
- Served as design lead for a team project developing ICON CITY, a responsive platform for developers, designers, and creatives to generate favicons.
- Collaborated with a diverse team to deliver a successful product, showcasing leadership and teamwork skills.

SKILLS & EXPERTISE

Product Design, UI/UX Design, User Experience Principles, Intuitive Interaction Design
Webflow Development, WordPress Development, Shopify Development
Problem-Solving, Leadership, Collaboration, Detail-Oriented"
