,Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo
10,"Graphic Designer & Student
Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies
Specializing in Publishing and Printing

Education:
- Currently pursuing education at Kharkiv National University of Radio Electronics
- Courses in ""Web Design"" and ""UX/UI Design"" from Genius.Space

Summary:
Highly motivated graphic designer with a passion for creating clear and structured designs. Proficient in visualization and graphic elements, with a strong attention to detail and ability to develop effective action plans.

Skills:
- UX design
- Visualization and graphic elements (UI)
- Soft skills: teamwork, empathy, enjoyment of work, punctuality, and discipline
- Proficient in graphic editors: Figma, Adobe Illustrator, Adobe Photoshop, Blender, and AutoCAD

Experience:
- Commercial projects, including creating business cards for a tattoo artist
- Various projects: website designs, brochures, presentations, and logos

Personal Statement:
Design is a vital part of my life, driving me to approach tasks with quality and discipline. I am committed to continuous learning and practice, ensuring the development of my skills and expertise."
11,"My design journey began 10 years ago at the College of Arts. 
I have been fortunate to work with diverse clients from Europe and the USA, spanning large enterprises with over 250,000 employees to e-Commerce and SaaS companies.

Throughout my career, I have gained a deep understanding of the IT product lifecycle, development processes, and methodologies. My experience includes leading creative teams, direct client communication, eliciting requirements, providing design solutions, and defending and iterating on them.

Key aspects that distinguish me include:
• Experience working with a Big Four accounting firm's enterprise-sized company, with over 250,000 employees worldwide.
• Proven ability to lead creative teams, mentor, and facilitate teammate growth.
• Skilled in project estimation, resource planning, and timeline management.
• Confident presenter of concepts and ideas to large audiences of foreign stakeholders.
• Advanced English proficiency enables effective communication.
• Ability to maintain professionalism despite personal dislikes.
• Full-stack design expertise in UI/UX and Graphic Design.

My skills encompass:
Team Leadership,
Project Management,
Project Estimation,
Resource Planning,
Client Presentation,
Client Communication,
Business English,
Enterprise-sized companies,
Agile and Scrum methodologies,
Art Direction,
Prototyping,
UI/UX Design,
Information Architecture,
UML diagrams,
User Testing,
Mobile App design,
SaaS,
Web Design,
Graphic Design

I am seeking a company that offers a variety of challenging projects, a laid-back atmosphere, and a flexible schedule focused on results. I am eager to communicate with clients, lead design teams, and manage projects, with a preference for mobile and complex web solutions. In return, I am committed to delivering top-notch output, prioritizing business and user needs."
12,"Results-driven Product Designer and Design Team Lead with a strong background in design team management. Proven track record of successfully completing over 30 projects and managing a team of 17 designers.

Key strengths include:
- Design team management: planning, delegating, and reviewing team processes
- User research project management
- Workshops facilitation and reporting
- Conflict management
- Sales process expertise as a design consultant, with over 20 launched projects

Educational background:
- Completed ""Design management"" course
- Completed ""People management 3.0"" course

Skilled in:
- Business goal understanding
- Negotiation and solution presentation
- Fluent English communication
- Written German communication

Portfolio highlights:
- Product Design Manager: human resources project
- Design Manager: crypto product
- UI/UX Team Lead: SaaS project
- Various smaller projects: betting, healthcare, delivery

Open to roles such as Design Delivery Manager or helping establish strong design teams, either in an outsourcing company or a product team."
13,"Summary:
Highly accomplished designer with 8 Design Awards on Behance, an honorable mention in San Francisco Design week, and featured in Ukrainian design The very best of. Proven track record of delivering results in fast-paced environments, including startups, fintech, organization management, crypto, insurance, and healthcare.

Experience:
Over 6+ years of commercial experience in designing for Web, Mobile, Dashboard, and Web applications. Key accomplishments include:
- Contributed to the development of an Australia-based digital home loan product, taking it from idea to MVP within 1 year
- Built a design system from scratch as part of a 3-person team

Skills:
- Hypothesis generation
- Research
- Wireframing and prototyping
- Usability testing and analysis
- Design system creation
- Design team leadership
- Collaboration and independent work
- Business needs analysis and design advice

Project Stages:
- Stakeholder and product manager communication
- Research
- Functionality mapping and process flow creation
- Low and high fidelity wireframing
- UI research and design
- Team leadership (up to 8 people)

Collaboration and Teamwork:
- Mentorship of junior designers
- 1on1 meetings for issue resolution and personal growth
- Feedback and support provision to teammates"
14,"Summary:
Results-driven design leader with extensive experience in e-commerce, advertising, and publishing, skilled in graphic and web design, team management, and user experience development.

Experience:
Senior Designer & Head of Design Team, E-commerce Company
- Created and headed the design department, automating processes to increase productivity
- Led design teams and collaborated with cross-functional teams to deliver successful projects

Creative Designer, Trading Companies
- Developed brand identities and promotional materials for various clients
- Designed and implemented digital advertising campaigns

Graphic Designer, Advertising Agencies
- Created key-visuals and supervised implementation of materials across online and offline channels
- Worked on printing and product design projects

Leading Designer, Publishing and Entertainment
- Designed and developed materials for publishing and entertainment clients
- Utilized skills in layout design, print preparation, animation, motion design, and video editing

Founder, Design Bureau and Printing Studio
- Hired, educated, and trained design specialists
- Managed design departments and teams, driving business growth and success

Qualifications:
- Professional skills in graphic and web design
- Experience in creating brand identity and promoting brands
- Development and implementation of digital advertising campaigns
- Team management and design department leadership
- User experience design and analytics
- Animation, motion design, and video editing
- Layout design and print preparation

Soft Skills:
- Complex problem-solving and analytical thinking
- Critical thinking and decision-making
- Emotional intelligence, empathy, and negotiation skills
- Ability to learn quickly and adapt to new situations
- Design thinking, creativity, and enterprise

Career Goal:
To join a team of enthusiasts and ambitious professionals, dedicating myself to developing and improving a company's product, driving innovation and global success."
15,"As a self-educated Digital 2D Artist & UI/UX Designer from Kyiv, I possess a strong portfolio and a range of skills, including:

- Advanced knowledge and experience working with Adobe Photoshop, Adobe Illustrator, Figma, and Procreate App
- Strong technical understanding of the subject
- Understanding of current design and technology trends
- Upper-Intermediate English level
- Effective verbal and written communication skills
- Time and self-management skills

I am looking forward to a strong friendship and cooperation. My experience includes:
- Freelance Web-designer (Dec 2018 - Nov 2019)
- UI/UX-Designer / Illustrator (Nov 2019 - Aug 2021)
- Full stack: UI/UX-Designer / Illustrator / Graphic designer (Apr 2021 - Present)

My skills include:
- English: Upper-Intermediate
- UI/UX Design / Adaptive design
- Illustration (raster/vector)
- Banner design
- Logo design

I am proficient in the following tools:
- Adobe Photoshop
- Adobe Illustrator
- Procreate App
- Figma
- Midjourney

I have received the following award:
- RED DOT / Brands & Communication Design (Aug 2022)

I am eager to join a successful company with a friendly team, where I can develop and learn further, and give my best to achieve perfection."
16,"Digital Designer

Summary:
Highly creative digital designer with extensive experience in marketing, proficient in Photoshop, Illustrator, and Figma. Skilled in Webflow, with expertise in animation, CMS, and more. Proven track record of creating visually stunning designs that drive brand growth.

Skills:
- Color sense, Color Theory, Composition
- Branding, Advertising, Illustration
- Web ads, Social media ads, Digital Design, Digital imagery, Digital Analytics, E-blast
- UI/UX design
- HTML/CSS
- Webflow

Soft skills:
- Confidence to work independently and in a team
- Creative
- Interface directly with customers

Education:
- Dare IT - PRODUCT DESIGN
- HILLEL (IT SCHOOL) - BASIC WEB DESIGN
- CASES MEDIA - FIGMA (90)
- CASES MEDIA - Graphic design. Composition (91)

Experience:
Freelance and in-house manager with experience working with over 5 companies from different countries. Successfully collaborated with an American company as a freelancer designer. Proficient in working independently and as part of a team.

Career Goals:
Seeking a long-term partnership with opportunities for growth, focusing on product development where knowledge and experience can be utilized to improve customer experience."
17,"Digital Graphic Designer (NDA) 
July 2021 – Present

• Web content development
• Logo, poster, and graphic creation for events
• Infographic design
• Landing page development
• Design of small architectural forms for event advertising campaigns
• Presentation and training material design
• Vector illustration and mascot creation

Digital Graphic & UI/UX Designer (ReevArts)
July 2020 – July 2021

• Designed over 500 social media graphics and 250 TV designs
• Developed UI/UX designs for 2 products over 1 year
• Conducted quality control of animators' work and designer reviews
• Created storyboards and illustrations for showreels and promos

Technical Graphic Designer (Polygraphy)
April 2019 – July 2020

• Developed designs considering customer requirements and prepared files for printing
• Created special layouts for T-shirts, sweatshirts, and stickers
• Controlled in-house designers' work and reviewed customer-submitted designs
• Conducted quality control of printing and cutting results
• Developed technological maps

Graphic & Web (UI/UX) Designer (Freelance Design; Self-employed)
April 2018 – March 2019

• Created final art and files for developers and animators
• Collaborated with editors and project managers
• Designed presentations and assisted with creative presentations
• Developed website and interface designs
• Created prototypes and templates

Assistant Manager (АМО1, ООО)
October 2013 – June 2014

• Searched for potential clients and communicated with existing clients
• Researched tenders and analyzed market demand for new products
• Worked with drawings and fulfilled personal orders from management
• Analyzed competitors' market and monitored prices
• Maintained the company website"
18,"Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

Completed a 6-month UI/UX design course, with additional studies in HTML/CSS. Successfully defended and presented three projects:
- Website redesign for a real estate company in Destin, Florida, focusing on modernizing the design, improving user-friendliness, and adding essential features such as user-friendly feedback and property valuation.
- A travel website for finding and booking excursions, tours, and entertainment worldwide, incorporating features like search filters, registration options, and secure payment processing.
- A mobile application for booking tables in restaurants.

Key projects include:
- Real estate site redesign: Conducted research and analysis of competitors, created user personas and a customer journey map, and designed a modern and convenient website to attract potential customers.
- Travel website: Analyzed the market, created user flow, wireframes, and a UI-Kit, resulting in an adaptive design that meets user needs.

Seeking a full-time position in a product company focused on creating digital products for everyday life and business. As a quick learner, responsible individual, and team player, I am ready to perform complex tasks and contribute to innovative projects."
19,"UX/UI Designer

Summary:
Highly motivated UX/UI designer seeking a role that leverages my passion for creating user-centered digital experiences, with opportunities for creativity, collaboration, and design innovation.

Experience:
- Redesigned User Interface of Indian Cafe
- Optimized Mobile App for improved performance
- Developed Web-Service and Landing Page
- Contributed to the development of f.Lover Mobile App, a platform for ordering and delivering bouquets and gifts online, featuring gift and flower recommendations, and allowing users to schedule orders for special occasions

Skills:
- UX/UI Design
- Mobile App Optimization
- Web-Service Development
- Landing Page Design

Career Goals:
Seeking a UX/UI design position that prioritizes quality, user satisfaction, and design innovation, with a focus on thorough user research, thoughtful ideation, and testing, and opportunities for collaboration within cross-functional teams."
